rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
5064	TRAFD1	TRAF-type zinc finger domain containing 1	1793	6	0	1	3	0	0	0	3	3	3	7.013894e-01	1	1.980000e-01	4.594509e-01	1
5065	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	4025	8	0	1	5	0	0	1	6	6	6	7.014133e-01	1	1.940000e-01	4.594610e-01	1
5066	LAT2	linker for activation of T cells family, member 2	780	18	0	0	3	0	1	0	4	4	4	4.490083e-01	1	2.430000e-01	4.594786e-01	1
5067	UBE2Z	ubiquitin-conjugating enzyme E2Z	1091	6	0	1	3	0	0	1	4	4	4	1.634738e-01	1	8.990000e-01	4.595417e-01	1
5068	RGL3	ral guanine nucleotide dissociation stimulator-like 3	2246	10	0	6	10	1	1	0	12	10	12	2.697990e-01	1	4.080000e-01	4.595858e-01	1
5069	VTA1	Vps20-associated 1 homolog (S. cerevisiae)	954	22	0	2	2	1	0	0	3	3	3	6.648651e-01	1	2.430000e-01	4.596919e-01	1
5070	CELA2A	chymotrypsin-like elastase family, member 2A	842	3	0	1	4	0	0	0	4	4	4	7.541116e-01	1	1.250000e-01	4.598466e-01	1
5071	ZSCAN10	zinc finger and SCAN domain containing 10	2196	2	0	3	7	0	1	0	8	8	8	7.340295e-01	1	4.700000e-02	4.599305e-01	1
5072	NFYB	nuclear transcription factor Y, beta	652	19	0	0	0	0	1	0	1	1	1	4.599399e-01	NaN	NaN	4.599399e-01	1
5073	NASP	nuclear autoantigenic sperm protein (histone-binding)	2502	14	0	2	7	1	1	1	10	8	10	1.637574e-01	1	7.310000e-01	4.600550e-01	1
5074	ZNF568	zinc finger protein 568	2065	2	0	2	5	0	0	1	6	6	6	3.631041e-01	1	4.050000e-01	4.600596e-01	1
5075	C19orf6	chromosome 19 open reading frame 6	1903	0	0	5	5	0	1	0	6	6	6	7.447544e-01	1	9.800000e-02	4.602152e-01	1
5076	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	2822	1	0	5	4	0	1	0	5	4	5	9.695709e-01	1	7.500000e-02	4.602360e-01	1
5077	PEX2	peroxisomal biogenesis factor 2	922	6	0	2	10	0	0	0	10	10	10	2.969243e-01	1	2.140000e-01	4.603169e-01	1
5078	EFNB2	ephrin-B2	1020	17	0	1	5	0	0	0	5	5	5	2.876675e-01	1	4.410000e-01	4.604404e-01	1
5079	TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	4102	10	0	2	5	0	1	0	6	6	6	5.189217e-01	1	2.440000e-01	4.604562e-01	1
5080	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	1763	3	0	1	6	0	0	0	6	6	6	5.522340e-01	1	1.590000e-01	4.605182e-01	1
5081	UHMK1	U2AF homology motif (UHM) kinase 1	1338	3	0	0	1	1	0	0	2	2	2	3.889266e-01	1	3.870000e-01	4.607234e-01	1
5082	SLC25A43	solute carrier family 25, member 43	1042	20	0	0	2	1	0	0	3	3	3	1.641540e-01	1	8.300000e-01	4.607721e-01	1
5083	C20orf112	chromosome 20 open reading frame 112	1339	5	0	1	1	0	0	1	2	2	2	8.928670e-01	1	9.200000e-02	4.610133e-01	1
5084	C1orf168	chromosome 1 open reading frame 168	2263	1	0	9	7	1	0	2	10	10	10	8.428884e-01	1	8.800000e-02	4.611501e-01	1
5085	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	473	0	0	6	2	0	2	0	4	4	4	4.925415e-01	1	2.270000e-01	4.614129e-01	1
5086	GMPS	guanine monphosphate synthetase	2144	4	0	4	6	0	1	1	8	6	8	2.842565e-01	1	3.440000e-01	4.615494e-01	1
5087	KIF26A	kinesin family member 26A	5705	0	0	18	31	0	1	0	32	31	29	5.636934e-01	1.640000e-01	9.360000e-01	4.615747e-01	1
5088	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	2490	5	0	1	8	0	0	0	8	8	8	4.485703e-01	1	2.180000e-01	4.616231e-01	1
5089	NAP1L3	nucleosome assembly protein 1-like 3	1521	0	0	3	14	0	0	0	14	12	13	9.301873e-01	2.770000e-01	4.260000e-01	4.616553e-01	1
5090	NPFFR1	neuropeptide FF receptor 1	1306	3	0	3	4	0	0	0	4	4	4	4.095700e-01	1	2.900000e-01	4.616625e-01	1
5091	PCDHB2	protocadherin beta 2	2397	1	0	3	10	0	0	0	10	10	10	8.317068e-01	1	1.030000e-01	4.617180e-01	1
5092	SNRPA	small nuclear ribonucleoprotein polypeptide A	869	47	0	1	2	0	0	0	2	2	2	8.318144e-01	1	1.500000e-01	4.617565e-01	1
5093	MSMB	microseminoprotein, beta-	359	38	0	0	1	0	0	0	1	1	1	4.618287e-01	NaN	NaN	4.618287e-01	1
5094	GALNTL4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4	1864	0	0	7	11	1	0	1	13	12	12	6.170132e-01	3.480000e-01	4.330000e-01	4.618345e-01	1
5095	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3580	1	0	1	16	0	0	1	17	13	17	3.932285e-01	3.520000e-01	6.690000e-01	4.618709e-01	1
5096	APOL2	apolipoprotein L, 2	1026	1	0	3	2	0	0	0	2	2	2	9.871615e-01	1	6.300000e-02	4.620391e-01	1
5097	RPS25	ribosomal protein S25	858	21	0	1	1	0	1	0	2	2	2	1.648813e-01	1	7.250000e-01	4.620847e-01	1
5098	CD47	CD47 molecule	1016	28	0	1	2	0	1	0	3	3	3	4.093344e-01	1	3.330000e-01	4.622297e-01	1
5099	FRMD4B	FERM domain containing 4B	3193	10	0	5	12	2	1	1	16	16	16	1.650604e-01	1	9.080000e-01	4.624075e-01	1
5100	GCG	glucagon	563	3	0	2	1	0	1	0	2	2	2	5.359687e-01	1	2.120000e-01	4.624398e-01	1
5101	C6orf186	chromosome 6 open reading frame 186	1117	3	0	0	6	0	1	0	7	6	7	1.651657e-01	1	7.410000e-01	4.625970e-01	1
5102	KIAA1632	KIAA1632	7914	6	0	9	18	1	0	0	19	15	18	9.606716e-01	1.490000e-01	8.610000e-01	4.627228e-01	1
5103	MED26	mediator complex subunit 26	1811	2	0	7	12	2	1	1	16	14	16	1.653207e-01	1	5.690000e-01	4.628761e-01	1
5104	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	2353	10	0	4	13	1	0	0	14	12	14	5.953672e-01	2.330000e-01	5.870000e-01	4.632205e-01	1
5105	CLEC5A	C-type lectin domain family 5, member A	591	32	0	0	4	0	1	0	5	5	5	1.655223e-01	1	1	4.632388e-01	1
5106	ZNF454	zinc finger protein 454	1581	22	0	2	10	1	0	0	11	11	11	1.655627e-01	1	8.450000e-01	4.633115e-01	1
5107	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	1335	3	0	0	8	0	1	1	10	9	10	1.655875e-01	1	3.590000e-01	4.633561e-01	1
5108	BTG3	BTG family, member 3	911	18	0	1	2	0	1	0	3	3	3	4.844359e-01	1	3.310000e-01	4.635172e-01	1
5109	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	738	37	0	0	3	1	0	0	4	4	4	1.657284e-01	1	8.790000e-01	4.636094e-01	1
5110	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	2430	15	0	6	7	0	0	0	7	7	7	9.874151e-01	1	9.300000e-02	4.638922e-01	1
5111	INF2	inverted formin, FH2 and WH2 domain containing	3870	5	0	8	12	0	0	0	12	12	11	3.997921e-01	3.170000e-01	8.640000e-01	4.639425e-01	1
5112	KLF15	Kruppel-like factor 15	1259	52	0	1	5	0	1	0	6	6	6	3.366372e-01	1	3.500000e-01	4.640294e-01	1
5113	ZSCAN20	zinc finger and SCAN domain containing 20	3156	18	0	4	7	0	0	0	7	7	7	9.023583e-01	1	1.200000e-01	4.641583e-01	1
5114	TMPRSS11E	transmembrane protease, serine 11E	1310	1	0	3	3	0	1	1	5	4	5	4.771365e-01	1	2.780000e-01	4.641755e-01	1
5115	ISL2	ISL LIM homeobox 2	1102	0	0	0	4	0	0	0	4	4	4	3.802760e-01	1	3.570000e-01	4.644217e-01	1
5116	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	3712	9	0	7	22	2	0	1	25	23	25	4.273130e-01	3.350000e-01	8.110000e-01	4.645008e-01	1
5117	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	2046	4	0	0	3	0	1	0	4	4	4	1.663490e-01	1	9.650000e-01	4.647238e-01	1
5118	GOLIM4	golgi integral membrane protein 4	2151	0	1	2	8	0	1	0	9	9	8	7.848555e-01	2.050000e-01	6.830000e-01	4.647961e-01	1
5119	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	768	10	0	0	3	0	0	0	3	3	3	5.386061e-01	1	1.420000e-01	4.648677e-01	1
5120	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	766	78	0	1	4	0	1	0	5	5	5	1.665048e-01	1	8.850000e-01	4.650032e-01	1
5121	RELT	RELT tumor necrosis factor receptor	1333	1	0	0	5	0	0	0	5	5	5	1.666288e-01	1	9.050000e-01	4.652253e-01	1
5122	DHRS9	dehydrogenase/reductase (SDR family) member 9	976	7	0	0	3	0	0	1	4	4	4	1.667952e-01	1	7.820000e-01	4.655235e-01	1
5123	VAC14	Vac14 homolog (S. cerevisiae)	2421	0	0	0	5	0	1	0	6	6	6	1.668256e-01	1	7.430000e-01	4.655780e-01	1
5124	ZPLD1	zona pellucida-like domain containing 1	1338	72	0	2	10	0	0	0	10	9	10	6.811048e-01	1	1.280000e-01	4.656587e-01	1
5125	VSIG10	V-set and immunoglobulin domain containing 10	1655	34	0	2	10	0	0	0	10	10	10	1.668796e-01	1	4.830000e-01	4.656747e-01	1
5126	SCG2	secretogranin II (chromogranin C)	1858	12	0	1	5	0	0	0	5	5	5	5.897637e-01	1	2.070000e-01	4.657168e-01	1
5127	PWWP2A	PWWP domain containing 2A	2414	21	0	2	4	0	0	2	6	6	6	1.669383e-01	1	7.790000e-01	4.657798e-01	1
5128	GGT5	gamma-glutamyltransferase 5	1808	22	0	3	8	1	0	0	9	8	9	1.670311e-01	1	9.180000e-01	4.659458e-01	1
5129	CENPBD1	CENPB DNA-binding domains containing 1	564	18	0	1	1	0	0	0	1	1	1	4.659492e-01	NaN	NaN	4.659492e-01	1
5130	TXLNG	taxilin gamma	1625	0	0	1	2	0	0	0	2	2	2	5.079438e-01	1	2.160000e-01	4.660933e-01	1
5131	C1orf226	chromosome 1 open reading frame 226	960	6	0	0	2	0	0	0	2	2	2	1.671649e-01	1	9.070000e-01	4.661852e-01	1
5132	TSSK1B	testis-specific serine kinase 1B	1104	0	0	5	7	0	0	0	7	7	6	9.499122e-01	1.370000e-01	5.320000e-01	4.662204e-01	1
5133	NBEA	neurobeachin	9135	0	0	10	30	2	2	0	34	29	32	8.080272e-01	2.020000e-01	3.990000e-01	4.663582e-01	1
5134	ZC3H13	zinc finger CCCH-type containing 13	4865	6	0	3	16	2	1	0	19	15	18	3.733794e-01	3.810000e-01	1	4.663803e-01	1
5135	MAPK10	mitogen-activated protein kinase 10	1452	3	0	1	4	1	0	0	5	5	5	1.673882e-01	1	5.470000e-01	4.665845e-01	1
5136	HAGHL	hydroxyacylglutathione hydrolase-like	1259	3	0	0	4	0	0	0	4	4	4	1.676209e-01	1	9.450000e-01	4.670003e-01	1
5137	CHMP2B	chromatin modifying protein 2B	662	4	0	1	4	0	0	0	4	4	4	5.480790e-01	1	2.460000e-01	4.671632e-01	1
5138	LYPD3	LY6/PLAUR domain containing 3	1057	25	0	2	9	0	0	0	9	9	9	1.677984e-01	1	5.910000e-01	4.673171e-01	1
5139	KLHL22	kelch-like 22 (Drosophila)	1929	0	0	3	5	0	0	1	6	5	6	6.129197e-01	1	1.260000e-01	4.675699e-01	1
5140	MED13	mediator complex subunit 13	6643	2	0	9	12	0	3	1	16	14	16	6.223953e-01	1	1.360000e-01	4.677603e-01	1
5141	SNX7	sorting nexin 7	1390	13	0	4	7	0	1	0	8	8	8	7.711201e-01	1	1.200000e-01	4.678628e-01	1
5142	TLX1NB	TLX1 neighbor	452	114	0	0	1	0	0	0	1	1	1	4.679312e-01	NaN	NaN	4.679312e-01	1
5143	ST5	suppression of tumorigenicity 5	3521	1	0	6	15	0	0	1	16	16	15	8.944137e-01	1.560000e-01	9.620000e-01	4.679440e-01	1
5144	GNG4	guanine nucleotide binding protein (G protein), gamma 4	236	1	0	1	1	0	0	0	1	1	1	4.679615e-01	NaN	NaN	4.679615e-01	1
5145	IGSF5	immunoglobulin superfamily, member 5	1257	0	0	6	6	0	0	2	8	8	7	9.142059e-01	1.480000e-01	8.980000e-01	4.680583e-01	1
5146	GAPT	GRB2-binding adaptor protein, transmembrane	474	1	0	0	1	0	0	0	1	1	1	4.681051e-01	NaN	NaN	4.681051e-01	1
5147	EPB41L5	erythrocyte membrane protein band 4.1 like 5	2481	11	0	1	5	1	0	1	7	7	7	5.342562e-01	1	2.660000e-01	4.681952e-01	1
5148	GTPBP5	GTP binding protein 5 (putative)	1245	49	0	4	6	0	1	0	7	7	6	5.824960e-01	2.290000e-01	8.040000e-01	4.682855e-01	1
5149	RUVBL1	RuvB-like 1 (E. coli)	1411	3	0	1	2	0	0	0	2	2	2	9.200019e-01	1	6.500000e-02	4.683193e-01	1
5150	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	1314	1	0	2	1	1	0	0	2	2	2	8.724388e-01	1	1.310000e-01	4.683556e-01	1
5151	MARK3	MAP/microtubule affinity-regulating kinase 3	2330	0	0	1	7	0	0	0	7	7	7	5.575540e-01	1	2.190000e-01	4.683567e-01	1
5152	NINJ2	ninjurin 2	581	13	0	0	5	0	0	0	5	5	5	1.683961e-01	1	7.370000e-01	4.683831e-01	1
5153	EEF2K	eukaryotic elongation factor-2 kinase	2246	9	0	5	8	0	2	1	11	10	11	1.684344e-01	1	8.580000e-01	4.684513e-01	1
5154	CST9	cystatin 9 (testatin)	484	87	0	1	1	1	0	0	2	2	2	6.239408e-01	1	2.660000e-01	4.685040e-01	1
5155	BCAS3	breast carcinoma amplified sequence 3	2883	0	0	6	8	1	2	0	11	11	11	3.769740e-01	1	3.470000e-01	4.685813e-01	1
5156	CCDC40	coiled-coil domain containing 40	3507	3	0	10	13	0	1	1	15	15	15	2.312715e-01	1	3.450000e-01	4.687406e-01	1
5157	MCART6	mitochondrial carrier triple repeat 6	928	6	0	1	4	0	0	0	4	4	4	4.608281e-01	1	3.100000e-01	4.688584e-01	1
5158	DUSP3	dual specificity phosphatase 3	568	70	0	0	1	0	1	0	2	2	2	7.177368e-01	1	2.110000e-01	4.688674e-01	1
5159	DRAM2	DNA-damage regulated autophagy modulator 2	829	18	0	0	3	0	0	0	3	3	3	3.726389e-01	1	4.430000e-01	4.691117e-01	1
5160	KRT76	keratin 76	1951	0	0	2	12	0	1	0	13	13	13	3.467056e-01	1	3.640000e-01	4.691832e-01	1
5161	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	2606	0	0	6	8	0	1	0	9	9	9	1.689012e-01	1	9.760000e-01	4.692820e-01	1
5162	PDIA6	protein disulfide isomerase family A, member 6	1373	0	0	0	2	0	0	1	3	3	3	1.689824e-01	1	7.400000e-01	4.694265e-01	1
5163	PLXNB2	plexin B2	5657	4	0	18	30	0	3	0	33	31	32	1.690090e-01	7.400000e-01	8.310000e-01	4.694737e-01	1
5164	WDR70	WD repeat domain 70	2037	14	0	1	4	1	0	0	5	5	5	1.690385e-01	1	9.470000e-01	4.695262e-01	1
5165	FRMPD2	FERM and PDZ domain containing 2	4042	5	0	2	10	1	1	1	13	12	13	1.690660e-01	1	9.890000e-01	4.695751e-01	1
5166	KLK5	kallikrein-related peptidase 5	906	2	0	6	5	0	0	0	5	5	5	5.032843e-01	2.720000e-01	9.450000e-01	4.696418e-01	1
5167	GSDMA	gasdermin A	1382	3	0	1	3	1	0	0	4	4	4	1.691727e-01	1	9.310000e-01	4.697647e-01	1
5168	FAM107B	family with sequence similarity 107, member B	937	12	0	1	4	1	0	0	5	4	5	6.385395e-01	1	2.250000e-01	4.698363e-01	1
5169	HERC4	hect domain and RLD 4	3270	34	0	4	7	0	1	1	9	9	9	1.692431e-01	1	9.730000e-01	4.698898e-01	1
5170	SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)	301	121	0	0	1	0	1	0	2	2	2	4.410316e-01	1	3.440000e-01	4.700906e-01	1
5171	TDRD3	tudor domain containing 3	2289	12	0	4	6	1	0	0	7	7	7	7.878194e-01	1	1.160000e-01	4.701350e-01	1
5172	KLF8	Kruppel-like factor 8	1100	8	0	1	3	0	0	0	3	3	3	8.600939e-01	1	1.430000e-01	4.702368e-01	1
5173	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	1743	3	0	6	5	0	0	0	5	4	5	9.967381e-01	1	1.030000e-01	4.702492e-01	1
5174	CDK2AP2	CDK2-associated protein 2	393	35	0	0	0	0	0	1	1	1	1	4.704231e-01	NaN	NaN	4.704231e-01	1
5175	C2orf84		641	28	0	1	2	1	0	0	3	3	3	1.697416e-01	1	8.560000e-01	4.707746e-01	1
5176	RSPH6A	radial spoke head 6 homolog A (Chlamydomonas)	2510	3	0	5	8	0	0	2	10	10	9	7.479399e-01	2.070000e-01	5.550000e-01	4.708469e-01	1
5177	SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	2342	3	0	2	9	0	1	0	10	10	10	1.699592e-01	1	6.940000e-01	4.711604e-01	1
5178	OR13C3	olfactory receptor, family 13, subfamily C, member 3	1044	15	0	1	9	0	0	0	9	9	8	8.032227e-01	1.800000e-01	7.410000e-01	4.717343e-01	1
5179	LDHB	lactate dehydrogenase B	1033	15	0	2	3	0	0	0	3	2	3	8.920099e-01	1	9.200000e-02	4.718948e-01	1
5180	ANK2	ankyrin 2, neuronal	12123	8	1	17	44	1	1	3	49	48	47	4.360959e-01	2.580000e-01	9.760000e-01	4.721418e-01	1
5181	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	2374	0	0	0	1	1	0	1	3	3	3	1.705510e-01	1	8.380000e-01	4.722081e-01	1
5182	GMEB1	glucocorticoid modulatory element binding protein 1	1763	2	0	3	2	0	0	0	2	2	2	9.861128e-01	1	4.400000e-02	4.722904e-01	1
5183	COLEC12	collectin sub-family member 12	2265	4	0	5	13	0	0	1	14	14	13	5.003118e-01	2.700000e-01	7.500000e-01	4.723059e-01	1
5184	NCKAP1L	NCK-associated protein 1-like	3506	0	0	2	6	0	2	0	8	8	8	1.706066e-01	1	8.240000e-01	4.723065e-01	1
5185	RAD50	RAD50 homolog (S. cerevisiae)	4035	5	0	2	6	0	0	2	8	8	8	1.706721e-01	1	7.280000e-01	4.724224e-01	1
5186	TMEM9	transmembrane protein 9	572	3	0	2	1	1	0	0	2	2	2	1.706964e-01	1	8.700000e-01	4.724653e-01	1
5187	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	1024	5	0	0	3	1	0	0	4	4	4	1.707607e-01	1	9.010000e-01	4.725789e-01	1
5188	DOK5	docking protein 5	949	0	0	0	6	0	0	0	6	6	6	6.187186e-01	2.240000e-01	9.590000e-01	4.725888e-01	1
5189	RPS16	ribosomal protein S16	461	6	0	0	2	0	1	0	3	3	3	1.708828e-01	1	4.810000e-01	4.727946e-01	1
5190	LRRC8C	leucine rich repeat containing 8 family, member C	2420	0	0	0	8	0	0	1	9	9	9	1.708833e-01	1	6.720000e-01	4.727955e-01	1
5191	HAUS5	HAUS augmin-like complex, subunit 5	1976	3	0	2	8	0	1	0	9	8	9	1.709006e-01	1	6.500000e-01	4.728261e-01	1
5192	GJC1	gap junction protein, gamma 1, 45kDa	1195	4	0	0	3	1	0	0	4	4	4	1.709057e-01	1	5.410000e-01	4.728351e-01	1
5193	GSC	goosecoid homeobox	782	0	0	2	5	0	0	0	5	5	5	1.710475e-01	1	4.420000e-01	4.730856e-01	1
5194	DPYSL4	dihydropyrimidinase-like 4	1771	0	0	0	14	0	0	0	14	14	14	1.710561e-01	1	1	4.731008e-01	1
5195	RPS12	ribosomal protein S12	421	55	0	1	0	1	0	0	1	1	1	4.731868e-01	NaN	NaN	4.731868e-01	1
5196	AGXT2L2	alanine-glyoxylate aminotransferase 2-like 2	1667	0	0	1	5	0	0	1	6	6	6	1.712106e-01	1	9.730000e-01	4.733735e-01	1
5197	OR1K1	olfactory receptor, family 1, subfamily K, member 1	950	45	0	2	5	0	0	0	5	5	5	1.713329e-01	1	8.280000e-01	4.735892e-01	1
5198	SORBS1	sorbin and SH3 domain containing 1	4200	3	0	3	8	0	2	0	10	10	10	1.714038e-01	1	9.990000e-01	4.737143e-01	1
5199	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	928	12	0	1	2	0	1	0	3	3	3	4.683437e-01	1	3.420000e-01	4.737320e-01	1
5200	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	2284	9	2	5	9	1	2	2	14	14	14	1.714314e-01	1	8.460000e-01	4.737630e-01	1
5201	CADM3	cell adhesion molecule 3	1335	47	0	2	3	0	0	0	3	3	3	9.222763e-01	1	1.740000e-01	4.739605e-01	1
5202	GLTPD2	glycolipid transfer protein domain containing 2	897	81	0	0	3	0	0	1	4	4	4	1.715558e-01	1	7.250000e-01	4.739824e-01	1
5203	ZNF232	zinc finger protein 232	1349	22	0	1	2	1	0	0	3	3	3	5.311770e-01	1	2.390000e-01	4.740077e-01	1
5204	TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	2445	23	0	4	7	0	1	1	9	9	9	1.716270e-01	1	9.300000e-01	4.741078e-01	1
5205	LMTK3	lemur tyrosine kinase 3	4530	0	0	9	9	0	0	3	12	11	11	6.602687e-01	2.110000e-01	9.940000e-01	4.741834e-01	1
5206	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	1648	0	0	2	4	1	0	1	6	6	6	1.717337e-01	1	6.400000e-01	4.742959e-01	1
5207	SNX13	sorting nexin 13	2974	1	0	0	7	1	0	0	8	8	8	1.717551e-01	1	9.860000e-01	4.743336e-01	1
5208	AIM2	absent in melanoma 2	1052	2	0	0	5	0	0	0	5	4	5	1.717917e-01	1	7.580000e-01	4.743981e-01	1
5209	GPR109B	G protein-coupled receptor 109B	1164	2	0	1	2	0	0	0	2	2	2	7.704276e-01	1	2.050000e-01	4.744221e-01	1
5210	MTSS1L	metastasis suppressor 1-like	2301	16	0	3	8	0	1	0	9	9	9	3.485112e-01	1	3.020000e-01	4.744409e-01	1
5211	ZNF511	zinc finger protein 511	783	3	0	0	4	0	0	0	4	4	4	2.789553e-01	1	5.380000e-01	4.744769e-01	1
5212	TRPM2	transient receptor potential cation channel, subfamily M, member 2	4638	1	0	7	24	0	1	1	26	24	26	3.137557e-01	4.510000e-01	8.290000e-01	4.746559e-01	1
5213	RNF34	ring finger protein 34	1154	16	0	1	5	0	0	2	7	7	7	1.719869e-01	1	6.730000e-01	4.747418e-01	1
5214	UBE2G1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	533	4	0	2	0	0	1	0	1	1	1	4.747424e-01	NaN	NaN	4.747424e-01	1
5215	PDE11A	phosphodiesterase 11A	3048	10	0	4	20	0	0	1	21	20	20	2.683946e-01	5.100000e-01	7.820000e-01	4.748369e-01	1
5216	C13orf26	chromosome 13 open reading frame 26	896	12	0	0	1	0	1	0	2	2	2	2.180826e-01	1	7.440000e-01	4.748831e-01	1
5217	OR5P2	olfactory receptor, family 5, subfamily P, member 2	969	5	0	0	3	0	0	0	3	3	3	8.478044e-01	1	1.460000e-01	4.749484e-01	1
5218	HMGXB4	HMG box domain containing 4	1846	1	0	3	5	0	0	2	7	7	7	7.719541e-01	1	1.640000e-01	4.750214e-01	1
5219	PHF16	PHD finger protein 16	2512	5	0	3	3	1	0	0	4	4	4	9.116054e-01	1	1.230000e-01	4.752811e-01	1
5220	EHBP1	EH domain binding protein 1	3788	2	0	5	16	1	0	2	19	16	19	1.723001e-01	1	9.220000e-01	4.752928e-01	1
5221	SPARCL1	SPARC-like 1 (mast9, hevin)	2035	0	0	2	5	1	0	0	6	6	6	6.783547e-01	1	2.280000e-01	4.752963e-01	1
5222	CA12	carbonic anhydrase XII	1105	12	0	2	5	0	1	0	6	5	6	1.724679e-01	1	8.040000e-01	4.755878e-01	1
5223	ZPBP	zona pellucida binding protein	1088	2	0	0	2	0	0	1	3	3	3	4.755101e-01	1	3.320000e-01	4.758378e-01	1
5224	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	1959	59	0	2	5	0	0	0	5	5	5	8.339742e-01	1	1.790000e-01	4.758773e-01	1
5225	FZD7	frizzled homolog 7 (Drosophila)	1727	12	1	2	11	0	0	0	11	9	11	6.210275e-01	2.510000e-01	9.980000e-01	4.759002e-01	1
5226	KLRK1	killer cell lectin-like receptor subfamily K, member 1	679	38	0	1	2	0	1	0	3	3	3	1.727084e-01	1	7.550000e-01	4.760104e-01	1
5227	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	1891	1	0	3	4	0	1	1	6	6	6	3.935970e-01	1	3.290000e-01	4.761521e-01	1
5228	FAM123C	family with sequence similarity 123C	2593	1	0	4	13	0	0	0	13	11	12	3.732191e-01	3.790000e-01	9.370000e-01	4.761720e-01	1
5229	TM9SF4	transmembrane 9 superfamily protein member 4	1997	1	0	2	7	1	0	0	8	8	8	3.350097e-01	1	4.260000e-01	4.762854e-01	1
5230	PDF	peptide deformylase (mitochondrial)	754	5	0	1	2	0	0	1	3	3	3	1.728691e-01	1	9.660000e-01	4.762924e-01	1
5231	ARF1	ADP-ribosylation factor 1	562	18	0	1	3	0	0	0	3	3	3	1.729788e-01	1	7.180000e-01	4.764850e-01	1
5232	WNT5A	wingless-type MMTV integration site family, member 5A	1159	0	0	5	9	0	1	0	10	9	10	1.729880e-01	1	9.630000e-01	4.765012e-01	1
5233	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	328	70	0	0	0	0	1	0	1	1	1	4.767952e-01	NaN	NaN	4.767952e-01	1
5234	FSIP1	fibrous sheath interacting protein 1	1790	0	0	0	5	0	0	0	5	5	5	5.428607e-01	1	2.960000e-01	4.768249e-01	1
5235	CHRNA10	cholinergic receptor, nicotinic, alpha 10	1371	4	0	1	5	0	1	0	6	4	6	2.901195e-01	1	5.100000e-01	4.768754e-01	1
5236	C7orf66	chromosome 7 open reading frame 66	356	89	0	1	1	1	1	0	3	3	3	8.704497e-01	1	5.100000e-02	4.769072e-01	1
5237	C19orf60	chromosome 19 open reading frame 60	622	39	0	0	1	0	0	0	1	1	1	4.770644e-01	NaN	NaN	4.770644e-01	1
5238	FGD6	FYVE, RhoGEF and PH domain containing 6	4411	2	0	2	13	1	1	0	15	13	15	5.098151e-01	1	2.260000e-01	4.771134e-01	1
5239	NLRP5	NLR family, pyrin domain containing 5	3659	13	0	10	22	1	1	0	24	22	23	4.801849e-01	3.680000e-01	3.650000e-01	4.771302e-01	1
5240	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	5530	3	0	7	6	3	1	1	11	9	11	1.734751e-01	1	7.340000e-01	4.773551e-01	1
5241	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	973	2	0	2	4	0	0	0	4	4	4	1.736094e-01	1	9.740000e-01	4.775903e-01	1
