gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
MAP1A	microtubule-associated protein 1A	9156	2	0	3	20	0	0	0	20	20	19	8.385086e-02	1.560000e-01	5.990000e-01	2.054315e-02	6.000332e-01	7.966204e-01	8.395465e-02	1
TMBIM1	transmembrane BAX inhibitor motif containing 1	976	12	0	2	4	0	0	0	4	4	4	4.570039e-01	1	2.300000e-02	1.000000e+00	1.934935e-02	8.019698e-01	8.402601e-02	1
ANKDD1A	ankyrin repeat and death domain containing 1A	1738	4	0	2	3	0	0	1	4	4	4	1.456832e-01	1	8.000000e-02	1.000000e+00	9.107861e-02	1.539337e-01	8.406731e-02	1
GIMAP4	GTPase, IMAP family member 4	1036	1	0	0	5	1	0	0	6	6	6	1.647004e-02	1	7.300000e-01	1.000000e+00	7.436698e-01	3.969394e-01	8.409951e-02	1
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	1299	0	0	0	5	0	0	1	6	6	6	1.648295e-02	1	9.360000e-01	1	9.446716e-01	1.360372e-01	8.415252e-02	1
ZBTB11	zinc finger and BTB domain containing 11	3302	0	0	0	3	0	0	1	4	4	4	1.574190e-01	1	6.000000e-02	1.000000e+00	4.620187e-02	9.928650e-01	8.434149e-02	1
WNK1	WNK lysine deficient protein kinase 1	8940	7	4	7	19	1	0	2	22	21	22	7.875465e-01	6.500000e-02	3.300000e-01	1	3.203421e-01	6.716622e-01	8.438039e-02	1
FIBP	fibroblast growth factor (acidic) intracellular binding protein	1150	6	0	1	3	0	0	0	3	3	3	6.347262e-01	1	9.200000e-03	1.000000e+00	9.965916e-03	3.725094e-01	8.449473e-02	1
MAOA	monoamine oxidase A	1640	0	0	1	4	1	1	0	6	6	6	1.210023e-01	1	1.100000e-01	1	1.209296e-01	2.333262e-01	8.453965e-02	1
PARP2	poly (ADP-ribose) polymerase family, member 2	1814	1	0	0	3	0	0	1	4	4	4	2.720103e-01	1	4.200000e-02	1.000000e+00	4.531241e-02	7.216373e-01	8.460243e-02	1
ABT1	activator of basal transcription 1	827	25	0	1	4	0	1	0	5	5	5	1.406717e-01	1	3.900000e-02	1.000000e+00	4.224614e-02	6.195789e-01	8.462962e-02	1
EIF4E3	eukaryotic translation initiation factor 4E family member 3	699	9	0	0	3	2	0	0	5	5	5	8.065217e-02	1	1.470000e-01	1.000000e+00	1.437775e-01	7.575382e-01	8.469145e-02	1
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	1572	7	0	2	6	0	0	0	6	6	5	6.968712e-01	2.100000e-02	9.610000e-01	9.471625e-03	9.595298e-01	6.466867e-01	8.514410e-02	1
ZNF630	zinc finger protein 630	1986	3	0	0	5	0	0	1	6	6	6	2.799217e-02	1	4.300000e-01	1	4.580323e-01	8.883206e-01	8.520304e-02	1
ZNF420	zinc finger protein 420	2277	6	0	1	5	0	0	0	5	5	4	8.827376e-01	1.500000e-02	8.170000e-01	4.373491e-03	8.314372e-01	1.385634e-01	8.533674e-02	1
AOC2	amine oxidase, copper containing 2 (retina-specific)	2283	5	0	1	7	0	0	1	8	8	7	3.167113e-01	3.900000e-02	6.620000e-01	1.218171e-02	6.674050e-01	2.972586e-01	8.539268e-02	1
POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	1657	6	1	3	5	0	1	2	8	8	7	2.543524e-01	4.900000e-02	9.560000e-01	1.674103e-02	9.449577e-01	5.451116e-02	8.539905e-02	1
SH3BGR	SH3 domain binding glutamic acid-rich protein	740	5	0	0	3	0	0	0	3	3	3	3.173927e-01	1	4.500000e-02	1.000000e+00	4.717613e-02	6.758343e-01	8.554024e-02	1
DNAH10	dynein, axonemal, heavy chain 10	13724	16	1	28	46	0	1	3	50	45	49	8.866185e-01	2.100000e-02	5.810000e-01	6.964908e-02	5.833845e-01	8.764265e-01	8.563802e-02	1
TH	tyrosine hydroxylase	1639	2	0	6	7	0	0	0	7	7	7	7.911807e-01	1	6.300000e-03	1	7.227737e-03	4.698958e-02	8.566414e-02	1
BRIP1	BRCA1 interacting protein C-terminal helicase 1	3900	12	0	5	7	0	0	1	8	8	7	8.028213e-01	1.700000e-02	9.970000e-01	7.147386e-03	9.974217e-01	9.597319e-01	8.569313e-02	1
TXNIP	thioredoxin interacting protein	1204	16	0	2	7	1	0	0	8	7	8	3.960549e-02	1	3.350000e-01	1	3.299260e-01	8.723014e-01	8.574495e-02	1
TASP1	taspase, threonine aspartase, 1	1421	2	2	3	2	0	0	0	2	2	2	9.545606e-01	1	1.000000e-02	9.999995e-01	9.572142e-03	7.133997e-01	8.584201e-02	1
KCMF1	potassium channel modulatory factor 1	1170	2	0	1	3	2	0	2	7	7	7	1.691589e-02	1	9.100000e-01	1	9.064825e-01	4.124797e-01	8.592428e-02	1
ZNF99	zinc finger protein 99	3582	11	3	3	8	1	0	0	9	9	8	9.968917e-01	3.100000e-02	4.350000e-01	9.991131e-03	4.298397e-01	4.473646e-01	8.605183e-02	1
GNG12	guanine nucleotide binding protein (G protein), gamma 12	223	144	0	0	0	0	0	2	2	2	2	5.682368e-02	1	2.150000e-01	9.999806e-01	1.992627e-01	5.904329e-01	8.622761e-02	1
CERS3	ceramide synthase 3	1190	14	0	2	5	0	0	0	5	5	4	7.085167e-01	4.300000e-02	2.610000e-01	8.364658e-03	2.334817e-01	8.985135e-01	8.628514e-02	1
MAPK15	mitogen-activated protein kinase 15	1786	1	0	1	6	0	0	0	6	6	5	3.868744e-01	1.400000e-01	2.140000e-01	8.334833e-03	1.951956e-01	8.523005e-02	8.635877e-02	1
IRF6	interferon regulatory factor 6	1432	42	0	2	3	0	1	0	4	4	4	3.627129e-01	1	3.700000e-02	1.000000e+00	3.491506e-02	5.118690e-01	8.646072e-02	1
TNR	tenascin R (restrictin, janusin)	4157	4	0	8	12	0	0	1	13	13	12	6.821826e-01	1.450000e-01	1.100000e-01	1.858934e-02	9.456825e-02	8.222420e-01	8.648946e-02	1
PSIP1	PC4 and SFRS1 interacting protein 1	1691	1	0	1	2	1	0	2	5	5	5	6.995817e-02	1	2.040000e-01	1.000000e+00	2.297966e-01	6.227402e-01	8.655144e-02	1
MAP3K13	mitogen-activated protein kinase kinase kinase 13	3121	5	0	1	4	0	0	0	4	4	4	5.182557e-01	1	1.800000e-02	1.000000e+00	1.949996e-02	4.110834e-01	8.668430e-02	1
KPRP	keratinocyte proline-rich protein	1740	6	0	2	9	1	0	0	10	10	10	4.437034e-01	1	1.440000e-02	1	1.421344e-02	8.096605e-01	8.678401e-02	1
RNASE4	ribonuclease, RNase A family, 4	444	2	0	0	2	0	0	0	2	2	1	4.189458e-01	2.830000e-01	4.100000e-02	2.232143e-03	4.000000e-02	3.582964e-01	8.698659e-02	1
WDR16	WD repeat domain 16	2017	12	2	1	5	0	1	3	9	9	8	4.300728e-01	6.100000e-02	3.990000e-01	1.766249e-02	4.128758e-01	9.438811e-01	8.709279e-02	1
PCDHGA6	protocadherin gamma subfamily A, 6	2811	12	0	4	12	0	0	1	13	11	12	4.536547e-01	3.500000e-02	8.560000e-01	1.937242e-02	8.630158e-01	6.138305e-02	8.723887e-02	1
TRPC4	transient receptor potential cation channel, subfamily C, member 4	2985	18	2	4	9	2	1	1	13	11	13	8.628535e-01	4.600000e-02	2.530000e-01	1	2.568367e-01	2.026190e-01	8.731272e-02	1
MRPS2	mitochondrial ribosomal protein S2	903	3	0	2	3	0	0	0	3	3	2	6.918985e-01	2.300000e-02	9.990000e-01	3.305176e-03	9.987680e-01	9.576827e-01	8.747665e-02	1
C11orf52	chromosome 11 open reading frame 52	384	26	0	1	4	0	1	0	5	5	5	5.036093e-02	1	3.240000e-01	1.000000e+00	3.486276e-01	4.239130e-01	8.778912e-02	1
CHRNE	cholinergic receptor, nicotinic, epsilon	1526	3	1	1	5	0	0	1	6	6	5	2.910467e-01	6.300000e-02	7.200000e-01	9.767674e-03	7.097251e-01	9.467471e-01	8.814667e-02	1
PCDHB2	protocadherin beta 2	2397	1	0	1	10	0	0	0	10	10	10	1.433720e-01	1	3.300000e-02	1	4.323056e-02	9.225526e-01	8.826234e-02	1
MIP	major intrinsic protein of lens fiber	804	26	0	0	2	0	0	0	2	2	2	5.650276e-01	1	1.900000e-02	9.999985e-01	1.994302e-02	7.615163e-01	8.836134e-02	1
RTN4	reticulon 4	3647	2	1	1	8	0	1	1	10	10	9	3.443751e-01	4.200000e-02	9.960000e-01	1.225364e-02	9.977861e-01	9.798478e-01	8.855249e-02	1
KRTAP10-9	keratin associated protein 10-9	879	10	0	3	5	0	0	0	5	5	5	2.672215e-01	8.200000e-02	1.560000e-01	1.000000e+00	1.473109e-01	7.608600e-01	8.884937e-02	1
ASB12	ankyrin repeat and SOCS box-containing 12	963	51	0	0	6	0	0	0	6	6	6	1.656761e-01	1	8.900000e-02	1.000000e+00	9.386676e-02	8.262009e-01	8.921544e-02	1
NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	3015	0	4	11	12	1	5	1	19	16	16	9.093086e-01	1.380000e-02	9.693000e-01	3.898349e-02	9.688380e-01	9.685746e-01	8.923229e-02	1
TMEM61	transmembrane protein 61	641	31	0	1	3	0	1	1	5	5	5	4.330291e-02	1	2.530000e-01	1.000000e+00	2.297960e-01	8.769193e-01	8.949822e-02	1
STEAP3	STEAP family member 3	1704	19	0	2	12	1	0	0	13	13	13	3.167692e-02	4.430000e-01	7.110000e-01	1	6.967808e-01	9.777937e-01	8.951809e-02	1
CMA1	chymase 1, mast cell	763	0	0	0	2	0	0	1	3	3	3	1.471801e-01	1	1.180000e-01	1.000000e+00	1.221168e-01	3.231515e-01	8.954374e-02	1
SNPH	syntaphilin	1629	100	0	2	2	0	0	0	2	2	2	9.482259e-01	1	1.000000e-02	9.999996e-01	3.868472e-03	5.608870e-01	8.961564e-02	1
MUC13	mucin 13, cell surface associated	1578	1	0	0	5	0	1	0	6	6	6	2.588349e-02	1	5.790000e-01	1	5.945451e-01	6.163900e-01	8.974835e-02	1
PRRT3	proline-rich transmembrane protein 3	3047	18	0	7	8	0	0	0	8	7	8	9.935187e-01	1	3.200000e-03	1	4.267238e-03	2.263528e-01	8.984384e-02	1
TRIM37	tripartite motif-containing 37	3022	4	0	0	5	1	0	0	6	6	6	1.788392e-02	1	4.180000e-01	1	4.379394e-01	9.012633e-01	8.984619e-02	1
LPAR6	lysophosphatidic acid receptor 6	1035	3	0	0	2	0	0	1	3	3	3	5.111015e-01	1	3.300000e-02	1.000000e+00	3.391834e-02	4.643443e-01	8.986483e-02	1
ZNF83	zinc finger protein 83	2137	9	2	1	6	0	0	1	7	5	7	7.882728e-01	1	9.900000e-03	1.000000e+00	9.998284e-03	9.536380e-01	8.988591e-02	1
SYCP2	synaptonemal complex protein 2	4761	0	1	1	13	0	0	2	15	15	13	2.182676e-01	6.500000e-02	9.130000e-01	2.181656e-02	9.197948e-01	6.690701e-01	8.990262e-02	1
CLK3	CDC-like kinase 3	1965	4	1	4	4	0	0	0	4	4	3	9.974220e-01	1.700000e-02	9.850000e-01	3.044396e-03	9.907972e-01	1.781083e-01	9.012642e-02	1
AFM	afamin	1852	4	1	0	7	0	0	3	10	10	10	1.800379e-02	1	9.100000e-01	1	9.256884e-01	1.946535e-01	9.032815e-02	1
HCRTR1	hypocretin (orexin) receptor 1	1389	0	0	0	5	0	0	0	5	5	5	8.700942e-02	1	8.000000e-02	1.000000e+00	8.764236e-02	3.710128e-01	9.035689e-02	1
RPLP2	ribosomal protein, large, P2	362	4	2	2	2	0	0	0	2	2	1	7.504949e-01	2.000000e-02	8.340000e-01	2.747253e-03	8.198919e-01	2.210857e-01	9.036061e-02	1
MRAP2	melanocortin 2 receptor accessory protein 2	630	18	0	1	2	0	0	0	2	2	2	5.314716e-01	1	3.200000e-02	9.999975e-01	5.018402e-02	7.434203e-01	9.059412e-02	1
NOXRED1	NADP-dependent oxidoreductase domain containing 1	1169	7	1	0	2	0	0	1	3	3	3	4.020623e-01	1	3.900000e-02	1.000000e+00	4.048955e-02	5.169067e-01	9.068549e-02	1
EGR3	early growth response 3	1225	0	0	2	9	0	0	0	9	7	8	2.266894e-01	7.100000e-02	8.490000e-01	1.697160e-02	8.480582e-01	9.976536e-01	9.085535e-02	1
ERRFI1	ERBB receptor feedback inhibitor 1	1472	14	0	2	4	1	0	0	5	4	5	4.222675e-01	1	3.200000e-02	1.000000e+00	3.650804e-02	9.486564e-01	9.094496e-02	1
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	1012	14	0	0	5	0	0	1	6	6	6	4.255212e-02	1	2.010000e-01	1.000000e+00	1.825472e-01	7.179802e-01	9.099407e-02	1
NAP1L3	nucleosome assembly protein 1-like 3	1521	13	0	3	14	0	0	0	14	12	13	1.465900e-01	2.180000e-01	4.320000e-01	4.246010e-02	4.535711e-01	5.391085e-01	9.102377e-02	1
URI1	URI1, prefoldin-like chaperone	1772	4	0	1	4	1	0	2	7	7	6	3.305044e-01	3.900000e-02	8.360000e-01	1.174265e-02	8.287211e-01	4.655452e-01	9.102609e-02	1
FOXL1	forkhead box L1	1038	5	0	4	4	0	0	0	4	4	3	9.111891e-01	2.000000e-02	9.990000e-01	5.748032e-03	9.976904e-01	1.109877e-01	9.121053e-02	1
ASXL3	additional sex combs like 3 (Drosophila)	6791	5	1	9	20	1	0	1	22	22	20	9.158324e-01	1.510000e-02	8.334000e-01	3.345894e-02	8.300844e-01	5.283666e-01	9.121567e-02	1
DSEL	dermatan sulfate epimerase-like	3669	0	0	6	37	3	0	0	40	33	40	1.870937e-01	3.450000e-01	2.900000e-02	1	3.094502e-02	9.150339e-01	9.165637e-02	1
KRTAP6-1	keratin associated protein 6-1	216	97	0	0	3	0	0	0	3	3	2	2.479493e-01	5.400000e-02	6.900000e-01	1.359504e-02	6.921285e-01	2.725459e-01	9.170860e-02	1
IFNAR1	interferon (alpha, beta and omega) receptor 1	1714	3	0	2	6	1	1	1	9	8	9	1.839502e-02	1	8.870000e-01	1	8.931242e-01	5.030333e-01	9.189554e-02	1
ARHGAP26	Rho GTPase activating protein 26	2533	1	3	1	7	0	2	0	9	8	8	5.416306e-01	3.000000e-02	9.840000e-01	1.098675e-02	9.765706e-01	5.681911e-01	9.197713e-02	1
SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	3233	24	2	2	5	0	0	3	8	7	7	4.850471e-01	3.100000e-02	8.240000e-01	6.470809e-03	8.199423e-01	8.903850e-01	9.204243e-02	1
TTC18	tetratricopeptide repeat domain 18	3474	4	1	3	7	0	0	0	7	7	7	6.160646e-01	1.800000e-02	1	1	9.994914e-01	4.364676e-01	9.224264e-02	1
DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	2440	3	1	3	5	2	0	1	8	8	7	5.283792e-01	3.200000e-02	4.880000e-01	1.140285e-02	4.712967e-01	4.326501e-01	9.228787e-02	1
CNBD2		1775	0	0	0	5	0	0	1	6	6	6	4.130274e-02	1	2.250000e-01	1	2.388931e-01	8.703825e-01	9.232919e-02	1
ELMSAN1	ELM2 and Myb/SANT-like domain containing 1	3178	9	0	3	9	0	0	0	9	9	7	4.633107e-01	3.500000e-02	3.750000e-01	1.125985e-02	3.636780e-01	1.444540e-01	9.244407e-02	1
MYL1	myosin, light chain 1, alkali; skeletal, fast	639	2	0	0	5	0	1	0	6	6	6	1.853461e-02	1	9.260000e-01	1.000000e+00	9.143586e-01	8.198391e-02	9.245279e-02	1
SMIM21		379	0	0	0	3	1	0	0	4	4	4	1.696969e-01	1	8.100000e-02	1.000000e+00	9.060305e-02	3.044026e-01	9.297892e-02	1
LCN10	lipocalin 10	694	63	1	0	1	2	0	0	3	3	2	1.795165e-01	7.100000e-02	8.870000e-01	4.293889e-03	8.891621e-01	9.645646e-01	9.299110e-02	1
UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	3294	0	0	0	9	0	0	1	10	9	10	1.867323e-02	1	5.900000e-01	1	5.956159e-01	1.749425e-02	9.300509e-02	1
MRGPRX1	MAS-related GPR, member X1	971	11	0	1	4	1	0	1	6	6	6	3.119180e-01	5.400000e-02	8.520000e-01	1.000000e+00	8.539743e-01	8.209769e-01	9.317164e-02	1
PLCD4	phospholipase C, delta 4	2445	1	0	0	4	0	0	0	4	4	4	1.462268e-01	1	1.110000e-01	1.000000e+00	1.088721e-01	4.002593e-01	9.317938e-02	1
GATAD2A	GATA zinc finger domain containing 2A	1947	15	0	4	8	1	0	0	9	9	9	2.566726e-01	1	2.800000e-02	1	2.930237e-02	9.829711e-01	9.325923e-02	1
TP63	tumor protein p63	2256	0	1	2	6	4	2	2	14	12	14	5.565901e-02	1	1.970000e-01	1	1.788520e-01	1.301241e-01	9.333871e-02	1
RNF130	ring finger protein 130	1404	71	1	2	8	0	0	0	8	7	6	2.571956e-01	6.100000e-02	4.720000e-01	1.756731e-05	4.830620e-01	6.879965e-01	9.341104e-02	1
AGBL5	ATP/GTP binding protein-like 5	2776	7	1	5	2	0	0	1	3	3	3	9.875456e-01	1	6.900000e-03	1.000000e+00	8.605587e-03	3.279263e-01	9.375605e-02	1
TDP1	tyrosyl-DNA phosphodiesterase 1	1957	0	0	1	4	0	1	0	5	5	5	2.859156e-01	1	5.100000e-02	1.000000e+00	4.851467e-02	7.776682e-01	9.378904e-02	1
ARHGAP11A	Rho GTPase activating protein 11A	3137	1	0	0	5	0	0	0	5	5	5	7.798232e-02	1	2.270000e-01	1.000000e+00	2.295539e-01	7.889861e-01	9.410360e-02	1
PIWIL1	piwi-like 1 (Drosophila)	2664	5	3	3	17	0	2	1	20	20	20	1.163172e-01	3.500000e-01	3.250000e-01	1	2.921632e-01	9.606860e-01	9.414329e-02	1
TTC9	tetratricopeptide repeat domain 9	677	0	0	1	1	0	0	2	3	3	2	4.865453e-01	3.900000e-02	7.580000e-01	4.400974e-03	7.635769e-01	1.344242e-01	9.420496e-02	1
CHD2	chromodomain helicase DNA binding protein 2	5805	0	1	5	6	0	2	5	13	11	12	5.756900e-01	2.900000e-02	4.080000e-01	9.419353e-03	3.987780e-01	6.295288e-02	9.429418e-02	1
DGCR14	DiGeorge syndrome critical region gene 14	1467	1	0	1	5	0	0	1	6	6	6	2.049302e-01	1	5.100000e-02	1	5.325757e-02	5.433228e-02	9.453479e-02	1
LMTK2	lemur tyrosine kinase 2	4564	0	0	2	15	1	0	0	16	16	16	1.911339e-02	1	9.960000e-01	1	9.979102e-01	7.862534e-01	9.475206e-02	1
FBXO16	F-box protein 16	1118	1	0	0	4	0	1	0	5	5	5	7.089278e-02	1	2.330000e-01	1.000000e+00	2.200768e-01	1.293740e-01	9.486152e-02	1
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	1755	2	0	1	5	0	0	0	5	5	5	8.478286e-02	1	2.070000e-01	1.000000e+00	2.302592e-01	9.568083e-02	9.494013e-02	1
UBQLN1	ubiquilin 1	1810	7	2	2	6	0	0	1	7	7	6	3.364234e-01	4.600000e-02	7.760000e-01	1.152357e-02	7.957761e-01	1.276210e-01	9.500027e-02	1
IRF2	interferon regulatory factor 2	1082	6	0	1	1	0	0	1	2	2	2	7.205383e-01	1	1.100000e-02	9.999991e-01	9.352135e-03	2.397558e-01	9.581507e-02	1
FZD6	frizzled homolog 6 (Drosophila)	2141	8	0	1	4	1	0	0	5	5	5	6.260246e-01	1	2.100000e-02	1.000000e+00	1.825350e-02	5.646027e-01	9.591082e-02	1
SLC25A46	solute carrier family 25, member 46	1297	23	1	1	2	0	1	0	3	3	3	8.446474e-01	1	2.300000e-02	1.000000e+00	2.818035e-02	4.739401e-01	9.599015e-02	1
CD80	CD80 molecule	883	95	1	0	2	2	0	1	5	4	5	5.817674e-02	1	3.010000e-01	1.000000e+00	2.938790e-01	7.888345e-02	9.600647e-02	1
C5orf55	chromosome 5 open reading frame 55	360	57	0	1	3	0	0	0	3	3	3	1.321927e-01	1	1.080000e-01	1.000000e+00	1.109263e-01	8.939470e-01	9.601157e-02	1
NUDT19	nudix (nucleoside diphosphate linked moiety X)-type motif 19	1136	4	0	3	6	0	0	0	6	6	5	8.458773e-01	7.400000e-02	8.600000e-02	1.309264e-02	7.408578e-02	1.821173e-01	9.610162e-02	1
CHD8	chromodomain helicase DNA binding protein 8	7898	23	2	4	17	0	1	1	19	17	19	2.631929e-01	1	2.900000e-02	1	2.092797e-02	9.717221e-01	9.618471e-02	1
METTL13	methyltransferase like 13	2147	22	0	3	5	0	0	0	5	5	4	7.226887e-01	1.800000e-02	9.380000e-01	4.637136e-03	9.384094e-01	1.058669e-02	9.632774e-02	1
VMAC	vimentin-type intermediate filament associated coiled-coil protein	514	12	0	0	2	0	0	0	2	2	1	4.879994e-01	3.400000e-02	9.980000e-01	1.930502e-03	9.974808e-01	6.680866e-02	9.635679e-02	1
POLQ	polymerase (DNA directed), theta	7889	8	0	5	20	3	0	2	25	24	24	1.717002e-01	9.100000e-02	6.960000e-01	3.439695e-02	6.847613e-01	9.466622e-01	9.656868e-02	1
TCF20	transcription factor 20 (AR1)	5915	2	0	2	13	1	1	0	15	15	15	4.628035e-02	1	3.070000e-01	1	3.124556e-01	8.762370e-01	9.657955e-02	1
LARP1	La ribonucleoprotein domain family, member 1	3132	3	1	3	10	0	1	1	12	12	11	3.506368e-01	4.600000e-02	4.150000e-01	2.085123e-02	4.057093e-01	4.794070e-01	9.681183e-02	1
ALDH3A1	aldehyde dehydrogenase 3 family, memberA1	1404	3	2	0	4	0	1	0	5	5	5	4.568127e-01	1	1.700000e-02	1.000000e+00	1.777403e-02	2.125914e-01	9.684045e-02	1
CAMP	cathelicidin antimicrobial peptide	534	34	0	1	2	0	0	1	3	3	3	7.588336e-02	1	2.270000e-01	1.000000e+00	2.140289e-01	3.100121e-01	9.688307e-02	1
GTF3C2	general transcription factor IIIC, polypeptide 2, beta 110kDa	2804	5	0	2	7	0	0	0	7	7	7	1.970572e-02	1	5.910000e-01	1	5.767346e-01	1.021328e-01	9.708704e-02	1
FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	958	10	0	1	4	0	0	0	4	4	4	7.676926e-02	1	2.120000e-01	1.000000e+00	2.103038e-01	9.349330e-01	9.718121e-02	1
IGFLR1	IGF-like family receptor 1	1080	4	0	1	7	0	0	2	9	9	9	1.059490e-01	1	6.700000e-02	1	5.856179e-02	3.555272e-01	9.750590e-02	1
AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	1150	10	0	1	1	0	0	1	2	2	2	6.832291e-01	1	2.200000e-02	9.999992e-01	1.824647e-02	1.396552e-01	9.751056e-02	1
PRRX1	paired related homeobox 1	809	3	1	1	6	0	0	0	6	6	5	4.505347e-01	3.900000e-02	7.550000e-01	1.823292e-02	7.682642e-01	2.529475e-01	9.754932e-02	1
BLNK	B-cell linker	1527	11	2	2	2	2	0	0	4	3	4	8.270148e-01	1	1.500000e-02	1.000000e+00	1.332855e-02	9.106407e-02	9.764664e-02	1
PINX1	PIN2/TERF1 interacting, telomerase inhibitor 1	1011	6	1	0	4	0	1	0	5	5	5	3.008426e-01	1	3.100000e-02	1.000000e+00	3.853034e-02	1.275542e-01	9.767508e-02	1
SEC22A	SEC22 vesicle trafficking protein homolog A (S. cerevisiae)	944	0	0	0	3	0	0	0	3	3	3	1.713737e-01	1	1.060000e-01	1.000000e+00	1.137762e-01	1.649194e-01	9.776812e-02	1
IFIT3	interferon-induced protein with tetratricopeptide repeats 3	1484	0	0	0	2	0	0	0	2	2	2	2.803319e-01	1	5.600000e-02	9.999995e-01	5.722219e-02	2.323541e-01	9.786296e-02	1
RNF138	ring finger protein 138	762	24	1	1	3	0	0	0	3	3	2	6.036065e-01	3.200000e-02	9.440000e-01	3.913041e-03	9.433528e-01	8.721509e-01	9.792348e-02	1
SETD5	SET domain containing 5	4509	6	3	3	7	5	1	1	14	14	14	1.246327e-01	1.200000e-01	6.290000e-01	1	6.052427e-01	1.107079e-01	9.801049e-02	1
ZNHIT6	zinc finger, HIT-type containing 6	1449	17	0	1	5	0	0	0	5	5	5	4.637652e-01	1	2.000000e-02	1.000000e+00	2.212219e-02	3.492817e-01	9.801309e-02	1
SCUBE3	signal peptide, CUB domain, EGF-like 3	3118	0	0	0	11	0	0	0	11	10	11	1.997354e-02	1	8.590000e-01	1	8.473043e-01	9.926067e-01	9.813695e-02	1
MED1	mediator complex subunit 1	4843	1	1	0	5	0	0	0	5	5	5	3.509016e-01	1	4.000000e-02	1	4.326607e-02	6.140705e-01	9.824589e-02	1
CNGB1	cyclic nucleotide gated channel beta 1	3908	5	2	5	15	2	0	2	19	18	19	2.003620e-02	1	9.190000e-01	1	9.125270e-01	2.198905e-01	9.838203e-02	1
LRRC29	leucine rich repeat containing 29	684	22	1	0	5	0	0	0	5	5	5	4.001147e-02	1	4.710000e-01	1.000000e+00	4.883287e-01	2.244852e-02	9.841937e-02	1
EDNRA	endothelin receptor type A	1308	1	0	2	6	0	0	0	6	6	5	3.519346e-01	1.610000e-01	1.720000e-01	1.138365e-02	1.638956e-01	9.869088e-01	9.847616e-02	1
MEF2C	myocyte enhancer factor 2C	1624	70	0	2	11	0	0	0	11	9	9	1.562893e-01	1.090000e-01	4.800000e-01	2.190806e-02	4.900435e-01	7.532534e-01	9.887091e-02	1
DEK	DEK oncogene (DNA binding)	1164	1	0	1	3	0	0	0	3	3	2	5.455202e-01	3.200000e-02	9.850000e-01	2.567027e-03	9.877398e-01	9.952059e-01	9.896039e-02	1
NTSR2	neurotensin receptor 2	1245	14	0	1	6	0	0	1	7	7	6	2.498585e-01	7.400000e-02	9.400000e-01	1.670165e-02	9.349793e-01	1.709866e-01	9.917222e-02	1
RNPEPL1	arginyl aminopeptidase (aminopeptidase B)-like 1	1517	12	0	1	6	0	0	0	6	6	5	4.407409e-01	3.400000e-02	8.630000e-01	9.825255e-03	8.507253e-01	3.051809e-01	9.931081e-02	1
PCGF3	polycomb group ring finger 3	1173	4	0	0	3	0	0	1	4	4	3	3.627288e-01	5.000000e-02	6.230000e-01	5.072557e-03	6.218087e-01	1.145477e-01	9.946176e-02	1
KRT75	keratin 75	1688	37	0	3	9	1	0	0	10	10	10	2.031979e-02	1	8.420000e-01	1	8.237988e-01	5.291316e-01	9.948895e-02	1
ZMPSTE24	zinc metallopeptidase (STE24 homolog, S. cerevisiae)	1464	1	0	0	1	0	0	1	2	2	2	2.787512e-01	1	3.600000e-02	9.999995e-01	3.951354e-02	2.097557e-02	9.960210e-02	1
NEIL1	nei endonuclease VIII-like 1 (E. coli)	1205	2	0	0	4	0	1	1	6	6	6	2.035497e-02	1	9.520000e-01	1	9.452270e-01	9.880774e-01	9.962597e-02	1
LENG9	leukocyte receptor cluster (LRC) member 9	1506	37	0	1	5	0	0	2	7	7	6	3.186271e-01	5.300000e-02	5.810000e-01	1.383075e-02	5.721651e-01	2.743648e-01	9.977068e-02	1
WDR25	WD repeat domain 25	1713	2	0	1	4	0	0	0	4	4	4	4.249966e-01	1	2.700000e-02	1.000000e+00	3.113715e-02	2.482667e-01	9.980065e-02	1
FBXO10	F-box protein 10	2907	8	0	2	8	0	0	0	8	8	7	6.191268e-01	9.600000e-02	1.560000e-01	9.580768e-03	1.708584e-01	8.852678e-01	9.992265e-02	1
ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	3097	0	0	0	5	2	0	0	7	7	7	2.046463e-02	1	4.700000e-01	1	4.761707e-01	1.305865e-01	1.000527e-01	1
URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	4608	4	1	3	12	0	0	1	13	13	12	6.396201e-01	4.700000e-02	3.050000e-01	1.678885e-02	3.022933e-01	5.541786e-01	1.000652e-01	1
