gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
GJA1	"gap junction protein, alpha 1, 43kDa"	1149	40	0	1	2	0	0	1	3	3	3	4.14E-01	1	3.20E-02	9.61E-02	1				
NEK1	NIMA (never in mitosis gene a)-related kinase 1	3905	28	0	0	5	0	2	1	8	7	8	1.95E-02	1	8.04E-01	9.61E-02	1				
ZNF526	zinc finger protein 526	2013	5	0	0	5	1	0	0	6	6	6	1.96E-02	1	4.25E-01	9.66E-02	1				
AFM	afamin	1852	3	0	0	1	0	0	2	3	3	3	3.74E-02	1	3.47E-01	9.66E-02	1				
KIAA1045	KIAA1045	1227	55	0	1	3	0	0	0	3	3	3	6.11E-02	1	2.61E-01	9.67E-02	1				
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	2874	1	0	0	3	0	0	0	3	3	3	2.34E-01	1	7.10E-02	9.68E-02	1				
CCDC51	coiled-coil domain containing 51	1244	26	0	0	4	0	0	0	4	4	4	1.97E-02	1	9.62E-01	9.72E-02	1				
EXOC7	exocyst complex component 7	2389	10	0	1	2	1	0	0	3	3	3	5.34E-01	1	2.90E-02	9.72E-02	1				
S100A6	S100 calcium binding protein A6	277	76	0	0	0	0	1	0	1	1	1	9.73E-02	NaN	NaN	9.73E-02	1				
KLHL9	kelch-like 9 (Drosophila)	1854	45	0	2	2	0	0	0	2	2	2	6.85E-01	1	2.70E-02	9.77E-02	1				
ALDH7A1	"aldehyde dehydrogenase 7 family, member A1"	1769	3	0	0	4	0	0	0	4	4	4	8.89E-02	1	1.51E-01	9.79E-02	1				
PSG9	pregnancy specific beta-1-glycoprotein 9	1563	11	0	0	2	0	0	0	2	2	2	2.59E-01	1	6.50E-02	9.80E-02	1				
UBC	ubiquitin C	2059	3	0	1	3	0	0	0	3	3	2	2.27E-01	7.20E-02	2.87E-01	9.80E-02	1				
PIGT	"phosphatidylinositol glycan anchor biosynthesis, class T"	1781	169	0	1	1	1	0	0	2	2	2	3.56E-01	1	2.70E-02	9.81E-02	1				
LPIN1	lipin 1	3107	2	0	0	3	0	1	0	4	4	4	1.83E-01	1	1.07E-01	9.82E-02	1				
ANXA1	annexin A1	1085	33	0	1	5	0	1	0	6	5	6	2.00E-02	1	9.67E-01	9.84E-02	1				
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	4464	6	0	1	9	0	0	1	10	10	10	2.00E-02	1	5.01E-01	9.84E-02	1				
CCIN	calicin	1767	26	0	1	4	0	0	0	4	4	4	1.08E-01	1	1.64E-01	9.84E-02	1				
MTHFD2	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"	1081	99	0	0	2	0	0	0	2	2	2	2.63E-01	1	1.62E-02	9.86E-02	1				
IFITM5	interferon induced transmembrane protein 5	403	879	0	0	0	1	0	0	1	1	1	9.87E-02	NaN	NaN	9.87E-02	1				
ERO1L	ERO1-like (S. cerevisiae)	1467	163	0	0	3	0	1	0	4	4	4	6.48E-02	1	2.49E-01	9.88E-02	1				
PIGN	"phosphatidylinositol glycan anchor biosynthesis, class N"	2904	61	0	1	4	0	0	0	4	4	4	2.65E-01	1	3.20E-02	9.88E-02	1				
TULP2	tubby like protein 2	1609	68	0	1	1	1	1	0	3	3	3	1.78E-01	8.70E-02	4.60E-01	9.88E-02	1				
ZNF90	zinc finger protein 90	1818	305	0	0	3	0	0	0	3	3	3	5.76E-01	1	2.50E-02	9.89E-02	1				
SYT15	synaptotagmin XV	1710	4	0	1	1	0	2	0	3	3	3	5.73E-02	1	2.30E-01	9.92E-02	1				
ANK1	"ankyrin 1, erythrocytic"	6288	6	0	0	5	0	0	0	5	5	5	1.03E-01	1	1.80E-01	9.92E-02	1				
TBX21	T-box 21	1628	13	0	0	2	0	1	0	3	3	3	2.67E-01	1	4.90E-02	9.93E-02	1				
KIAA0020	KIAA0020	2011	62	0	1	4	1	0	0	5	5	5	4.92E-02	1	3.23E-01	9.96E-02	1				
ATXN3	ataxin 3	1282	53	0	0	2	0	0	0	2	2	2	1.92E-01	1	4.90E-02	9.97E-02	1				
ITGB1BP2	integrin beta 1 binding protein (melusin) 2	1092	42	0	0	2	0	0	0	2	2	2	1.01E-01	1	1.56E-01	9.98E-02	1				
MTERFD2	MTERF domain containing 2	1452	2	0	2	2	0	0	0	2	2	2	4.44E-01	1	4.10E-02	1.00E-01	1				
SLC39A14	"solute carrier family 39 (zinc transporter), member 14"	1797	71	0	1	5	0	0	0	5	5	5	2.05E-02	1	4.73E-01	1.00E-01	1				
ZNF292	zinc finger protein 292	8235	1	0	2	10	1	0	2	13	12	13	1.06E-01	1	1.39E-01	1.00E-01	1				
CLPSL1	colipase-like 1	374	368	0	0	0	1	0	0	1	1	1	1.00E-01	NaN	NaN	1.00E-01	1				
NMB	neuromedin B	478	38	0	0	1	0	0	0	1	1	1	1.01E-01	NaN	NaN	1.01E-01	1				
ITPR1	"inositol 1,4,5-triphosphate receptor, type 1"	8520	11	0	2	6	0	0	0	6	6	6	3.96E-01	1	2.50E-02	1.01E-01	1				
LHFPL1	lipoma HMGIC fusion partner-like 1	671	8	0	2	5	0	1	0	6	6	6	2.07E-02	1	7.42E-01	1.01E-01	1				
PRKAG3	"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"	1518	9	0	0	3	0	0	0	3	3	3	1.69E-01	1	1.07E-01	1.01E-01	1				
RANBP3	RAN binding protein 3	1768	2	0	0	3	0	0	0	3	3	3	7.16E-02	1	1.20E-01	1.01E-01	1				
SGPP1	sphingosine-1-phosphate phosphatase 1	1334	65	0	1	4	0	0	0	4	4	4	4.38E-02	1	4.22E-01	1.02E-01	1				
TRPM4	"transient receptor potential cation channel, subfamily M, member 4"	3741	41	0	1	4	0	2	0	6	6	6	2.98E-01	1	4.70E-02	1.02E-01	1				
NDUFS5	"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)"	327	207	0	0	0	0	1	0	1	1	1	1.02E-01	NaN	NaN	1.02E-01	1				
TAC4	tachykinin 4 (hemokinin)	358	110	0	0	0	1	0	0	1	1	1	1.02E-01	NaN	NaN	1.02E-01	1				
MDN1	"MDN1, midasin homolog (yeast)"	17200	1	0	5	10	0	0	0	10	10	9	8.75E-01	2.10E-02	8.69E-01	1.02E-01	1				
OPN4	opsin 4	1510	7	0	0	4	0	0	0	4	4	4	6.67E-02	1	3.13E-01	1.02E-01	1				
GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2244	2	0	1	4	0	0	0	4	4	4	1.09E-01	1	3.50E-02	1.02E-01	1				
IL12RB1	"interleukin 12 receptor, beta 1"	2180	1	0	0	4	0	0	0	4	4	4	7.21E-02	1	2.85E-01	1.02E-01	1				
VILL	villin-like	2723	121	0	2	4	0	0	0	4	4	4	3.45E-01	1	2.80E-02	1.02E-01	1				
CELA2B	"chymotrypsin-like elastase family, member 2B"	838	68	0	1	4	0	0	0	4	4	4	5.90E-02	1	2.62E-01	1.02E-01	1				
INO80	INO80 homolog (S. cerevisiae)	4807	7	0	2	8	1	1	0	10	10	10	3.87E-02	1	4.62E-01	1.02E-01	1				
SVIL	supervillin	6878	12	0	3	13	0	0	0	13	13	13	2.07E-01	1	3.20E-02	1.02E-01	1				
EIF4G1	"eukaryotic translation initiation factor 4 gamma, 1"	4948	0	0	1	3	0	0	1	4	4	4	4.31E-01	1	3.00E-02	1.03E-01	1				
C14orf37	chromosome 14 open reading frame 37	2349	11	0	1	2	0	0	0	2	2	2	8.79E-01	1	2.20E-02	1.03E-01	1				
SLC43A1	"solute carrier family 43, member 1"	1732	58	0	0	3	0	1	1	5	5	5	3.60E-02	1	4.61E-01	1.03E-01	1				
STX10	syntaxin 10	844	76	0	0	3	0	0	0	3	3	3	1.03E-01	NaN	NaN	1.03E-01	1				
ALG6	"asparagine-linked glycosylation 6 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)"	1582	3	0	0	1	1	0	0	2	2	2	1.67E-01	1	8.50E-02	1.03E-01	1				
SYK	spleen tyrosine kinase	1956	20	0	0	2	0	0	0	2	2	2	4.17E-01	1	2.00E-02	1.03E-01	1				
SP3	Sp3 transcription factor	2370	101	0	1	1	2	1	0	4	4	4	2.13E-02	1	8.83E-01	1.03E-01	1				
RFTN2	raftlin family member 2	1538	110	0	1	4	0	0	0	4	4	4	1.09E-01	1	1.66E-01	1.03E-01	1				
HAS2	hyaluronan synthase 2	1669	94	0	1	3	0	0	0	3	3	3	3.63E-01	1	5.40E-02	1.04E-01	1				
PIWIL1	piwi-like 1 (Drosophila)	2662	26	0	3	9	0	0	1	10	10	10	2.14E-02	1	4.01E-01	1.04E-01	1				
PRRX1	paired related homeobox 1	809	34	0	1	4	0	0	0	4	4	4	3.53E-02	1	5.23E-01	1.05E-01	1				
PSMA7	"proteasome (prosome, macropain) subunit, alpha type, 7"	871	23	0	0	2	0	0	0	2	2	2	1.61E-01	1	1.20E-01	1.05E-01	1				
USMG5	upregulated during skeletal muscle growth 5 homolog (mouse)	182	61	0	0	1	0	0	0	1	1	1	1.05E-01	NaN	NaN	1.05E-01	1				
RNMT	RNA (guanine-7-) methyltransferase	1591	95	0	0	3	0	0	0	3	3	3	2.20E-01	1	9.30E-02	1.05E-01	1				
ARPC4	"actin related protein 2/3 complex, subunit 4, 20kDa"	584	71	0	0	0	0	1	1	2	2	2	2.18E-02	1	1.60E-01	1.05E-01	1				
TLR3	toll-like receptor 3	2727	1	0	0	5	0	0	0	5	5	5	6.48E-02	1	1.97E-01	1.05E-01	1				
COL13A1	"collagen, type XIII, alpha 1"	2358	1	0	0	1	0	1	0	2	2	2	2.22E-01	1	9.60E-02	1.05E-01	1				
DCST2	DC-STAMP domain containing 2	2430	23	0	0	4	0	0	0	4	4	4	6.23E-02	1	2.90E-01	1.05E-01	1				
ZNF207	zinc finger protein 207	1594	25	0	1	3	0	0	0	3	3	3	1.10E-01	1	1.81E-01	1.05E-01	1				
OR4A5	"olfactory receptor, family 4, subfamily A, member 5"	948	128	0	0	2	0	0	0	2	2	2	9.10E-01	1	1.60E-02	1.05E-01	1				
PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	1633	8	0	0	2	0	0	0	2	2	2	2.60E-01	1	7.20E-02	1.05E-01	1				
SLC6A8	"solute carrier family 6 (neurotransmitter transporter, creatine), member 8"	1956	5	0	0	1	1	0	0	2	2	2	6.41E-02	1	2.48E-01	1.06E-01	1				
FLG	filaggrin	12190	12	0	9	22	0	0	0	22	21	21	4.21E-01	8.10E-02	4.83E-01	1.06E-01	1				
RPL3	ribosomal protein L3	1248	16	0	1	2	0	1	0	3	3	3	2.19E-02	1	2.96E-01	1.06E-01	1				
PRRC2C	proline-rich coiled-coil 2C	8829	23	0	4	9	0	0	0	9	8	8	6.09E-01	2.80E-02	8.19E-01	1.06E-01	1				
RPS25	ribosomal protein S25	390	529	0	0	0	0	1	0	1	1	1	1.06E-01	NaN	NaN	1.06E-01	1				
ALOXE3	arachidonate lipoxygenase 3	2745	5	0	1	3	1	0	0	4	4	4	2.72E-01	1	5.70E-02	1.06E-01	1				
TCF20	transcription factor 20 (AR1)	5915	4	0	0	7	1	0	0	8	8	8	5.33E-02	1	2.14E-01	1.06E-01	1				
TSR1	"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)"	2483	13	0	1	2	0	0	0	2	2	2	4.09E-01	1	5.40E-02	1.06E-01	1				
OR13G1	"olfactory receptor, family 13, subfamily G, member 1"	924	2	0	0	2	0	0	0	2	2	2	2.13E-01	1	2.60E-02	1.06E-01	1				
CLNK	cytokine-dependent hematopoietic cell linker	1371	172	0	0	2	0	0	0	2	2	2	6.53E-01	1	2.50E-02	1.07E-01	1				
MAGI1	"membrane associated guanylate kinase, WW and PDZ domain containing 1"	4709	17	0	2	13	1	0	0	14	13	13	3.22E-01	5.20E-02	5.99E-01	1.07E-01	1				
OR5AU1	"olfactory receptor, family 5, subfamily AU, member 1"	1089	16	0	2	3	1	0	0	4	4	4	2.23E-02	1	7.52E-01	1.07E-01	1				
DDX53	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53	1896	8	0	4	3	0	0	0	3	3	3	7.46E-01	1	2.70E-02	1.07E-01	1				
MEOX2	mesenchyme homeobox 2	923	24	0	0	5	0	0	0	5	5	5	1.33E-01	1	1.11E-01	1.08E-01	1				
DLGAP3	"discs, large (Drosophila) homolog-associated protein 3"	2976	13	0	0	2	0	0	0	2	2	1	8.64E-01	2.50E-02	7.28E-01	1.08E-01	1				
ACER2	alkaline ceramidase 2	917	190	0	0	2	0	0	0	2	2	2	2.08E-01	1	6.00E-02	1.08E-01	1				
ITGBL1	"integrin, beta-like 1 (with EGF-like repeat domains)"	1564	146	0	0	7	0	0	0	7	7	7	2.25E-02	1	2.77E-01	1.08E-01	1				
AJAP1	adherens junctions associated protein 1	1252	3	0	2	4	0	0	0	4	4	3	8.08E-01	2.40E-02	4.13E-01	1.08E-01	1				
REN	renin	1257	7	0	0	1	0	0	0	1	1	1	1.09E-01	NaN	NaN	1.09E-01	1				
BHLHE41	"basic helix-loop-helix family, member e41"	1465	229	0	0	2	1	2	0	5	3	5	6.70E-02	1	2.90E-01	1.09E-01	1				
KCMF1	potassium channel modulatory factor 1	1170	41	0	1	1	1	0	1	3	3	3	2.27E-02	1	8.00E-01	1.09E-01	1				
NOP10	NOP10 ribonucleoprotein homolog (yeast)	199	40	0	0	1	0	0	0	1	1	1	1.09E-01	NaN	NaN	1.09E-01	1				
ORAI2	ORAI calcium release-activated calcium modulator 2	769	389	0	0	3	0	1	0	4	2	4	6.20E-02	1	2.42E-01	1.09E-01	1				
DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32	2272	11	0	0	4	0	0	0	4	4	4	1.57E-01	1	1.35E-01	1.09E-01	1				
TRIM42	tripartite motif-containing 42	2188	14	0	1	6	0	0	0	6	6	6	1.38E-01	1	6.50E-02	1.09E-01	1				
SLC25A31	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31"	968	58	0	0	2	1	0	0	3	3	3	6.41E-02	1	2.17E-01	1.09E-01	1				
RPL32	ribosomal protein L32	470	92	0	0	0	0	0	1	1	1	1	1.10E-01	NaN	NaN	1.10E-01	1				
NCAM2	neural cell adhesion molecule 2	2721	108	0	3	9	2	2	0	13	13	13	5.48E-01	1	1.60E-02	1.10E-01	1				
GPRIN1	G protein regulated inducer of neurite outgrowth 1	3027	15	0	0	4	0	0	0	4	4	4	5.73E-02	1	3.24E-01	1.10E-01	1				
ANPEP	"alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)"	2980	10	0	0	2	0	0	1	3	3	3	4.37E-02	1	4.80E-01	1.10E-01	1				
PGBD2	piggyBac transposable element derived 2	1793	4	0	2	4	1	0	0	5	5	5	4.70E-02	1	4.80E-01	1.10E-01	1				
LRRN2	leucine rich repeat neuronal 2	2142	14	0	2	4	0	0	0	4	4	4	3.21E-01	1	4.40E-02	1.10E-01	1				
ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	6479	0	0	0	4	0	0	0	4	4	4	1.78E-01	1	1.05E-01	1.10E-01	1				
PRNT	prion protein (testis specific)	285	333	0	0	1	0	0	0	1	1	1	1.10E-01	NaN	NaN	1.10E-01	1				
SIAH3	siah E3 ubiquitin protein ligase family member 3	814	131	0	1	2	0	0	0	2	2	1	4.46E-01	2.27E-01	5.20E-02	1.11E-01	1				
MAP2	microtubule-associated protein 2	5800	12	0	5	17	0	0	0	17	15	16	1.79E-01	1.20E-01	8.83E-01	1.11E-01	1				
GRHL1	grainyhead-like 1 (Drosophila)	1917	80	0	1	5	0	0	0	5	5	5	1.08E-01	1	6.30E-02	1.11E-01	1				
BBS9	Bardet-Biedl syndrome 9	2821	12	0	0	5	0	1	0	6	6	6	9.97E-02	1	1.94E-01	1.11E-01	1				
NOXRED1	NADP-dependent oxidoreductase domain containing 1	1169	34	0	0	1	0	0	1	2	2	2	9.19E-02	1	8.20E-02	1.11E-01	1				
BIK	BCL2-interacting killer (apoptosis-inducing)	495	45	0	0	2	0	0	0	2	2	2	5.25E-02	1	3.98E-01	1.11E-01	1				
G3BP2	GTPase activating protein (SH3 domain) binding protein 2	1489	37	0	0	2	0	0	0	2	2	2	2.22E-01	1	5.80E-02	1.11E-01	1				
FAM13C	"family with sequence similarity 13, member C"	2002	85	0	1	8	0	0	0	8	8	8	1.24E-01	1	9.90E-02	1.11E-01	1				
CYP27A1	"cytochrome P450, family 27, subfamily A, polypeptide 1"	1628	9	0	0	4	0	0	0	4	4	4	9.43E-02	1	2.12E-01	1.11E-01	1				
KRTAP10-11	keratin associated protein 10-11	897	31	0	0	2	1	0	0	3	3	3	4.48E-02	1	4.42E-01	1.11E-01	1				
SULT1C3	"sulfotransferase family, cytosolic, 1C, member 3"	1239	2	0	2	3	0	0	0	3	3	3	7.32E-01	1	2.10E-02	1.11E-01	1				
CYP2A13	"cytochrome P450, family 2, subfamily A, polypeptide 13"	1517	37	0	0	3	0	1	0	4	4	4	8.79E-02	1	2.61E-01	1.12E-01	1				
MATN4	matrilin 4	1906	17	0	2	3	0	1	0	4	4	4	1.44E-01	1	7.50E-02	1.12E-01	1				
ZNF99	zinc finger protein 99	3582	40	0	2	7	1	0	0	8	8	7	8.12E-01	2.35E-02	3.89E-01	1.12E-01	1				
LYRM2	LYR motif containing 2	325	14	0	0	1	0	0	0	1	1	1	1.12E-01	NaN	NaN	1.12E-01	1				
FGL2	fibrinogen-like 2	1324	49	0	0	3	0	0	1	4	4	4	2.36E-02	1	8.95E-01	1.12E-01	1				
DET1	de-etiolated homolog 1 (Arabidopsis)	1702	25	0	1	4	0	0	0	4	4	4	2.78E-01	1	6.00E-02	1.12E-01	1				
DNHD1	dynein heavy chain domain 1	14429	66	0	4	4	0	0	0	4	4	4	9.98E-01	1	7.90E-03	1.12E-01	1				
RNF219	ring finger protein 219	2201	5	0	0	2	0	0	0	2	2	2	4.93E-01	1	3.00E-02	1.12E-01	1				
IMMP2L	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	767	638	0	0	3	0	0	0	3	3	3	1.65E-01	1	7.60E-02	1.12E-01	1				
ST6GALNAC3	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	934	54	0	0	5	0	0	0	5	5	5	7.75E-02	1	1.84E-01	1.12E-01	1				
SELL	selectin L (lymphocyte adhesion molecule 1)	1190	328	0	0	3	0	0	0	3	3	3	7.57E-02	1	2.47E-01	1.13E-01	1				
BRWD3	bromodomain and WD repeat domain containing 3	5569	7	0	4	10	1	1	1	13	13	13	1.72E-01	1	7.50E-02	1.13E-01	1				
COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	269	43	0	0	1	0	0	0	1	1	1	1.13E-01	NaN	NaN	1.13E-01	1				
SLC22A16	"solute carrier family 22 (organic cation/carnitine transporter), member 16"	1909	10	0	0	5	0	0	0	5	5	5	2.40E-02	1	8.88E-01	1.13E-01	1				
PPP1R15B	"protein phosphatase 1, regulatory (inhibitor) subunit 15B"	2146	7	0	0	2	0	1	0	3	3	3	1.41E-01	1	1.55E-01	1.14E-01	1				
POLD2	"polymerase (DNA directed), delta 2, regulatory subunit 50kDa"	1446	4	0	0	1	1	0	0	2	2	2	6.34E-02	1	4.90E-02	1.14E-01	1				
ING5	"inhibitor of growth family, member 5"	751	194	0	0	3	0	0	0	3	3	3	2.41E-02	1	8.37E-01	1.14E-01	1				
NNAT	neuronatin	254	47	0	0	0	1	0	0	1	1	1	1.14E-01	NaN	NaN	1.14E-01	1				
JAKMIP2	janus kinase and microtubule interacting protein 2	2567	0	0	0	6	0	0	0	6	6	6	8.37E-02	1	1.89E-01	1.14E-01	1				
HUNK	hormonally upregulated Neu-associated kinase	2185	133	0	2	4	0	0	0	4	4	4	6.03E-01	1	3.00E-02	1.14E-01	1				
FHOD3	formin homology 2 domain containing 3	4981	10	0	3	6	1	0	0	7	7	7	4.24E-01	8.00E-02	4.97E-01	1.14E-01	1				
GATAD2A	GATA zinc finger domain containing 2A	1947	37	0	0	4	0	0	0	4	3	4	2.11E-01	1	8.50E-02	1.14E-01	1				
GPR56	G protein-coupled receptor 56	2130	26	0	0	3	1	0	0	4	4	4	5.12E-02	1	3.93E-01	1.14E-01	1				
ZRANB1	"zinc finger, RAN-binding domain containing 1"	2159	13	0	0	3	0	0	0	3	3	3	3.98E-01	1	4.40E-02	1.15E-01	1				
PPP2CA	"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"	954	28	0	0	2	1	0	0	3	3	3	2.43E-02	1	9.01E-01	1.15E-01	1				
ZNF619	zinc finger protein 619	1964	260	0	1	3	1	0	0	4	4	4	7.05E-02	1	3.26E-01	1.15E-01	1				
BHMT	betaine-homocysteine methyltransferase	1249	68	0	1	2	0	0	0	2	2	2	2.72E-01	1	1.70E-02	1.15E-01	1				
NPAS2	neuronal PAS domain protein 2	2752	1	0	0	3	1	0	0	4	4	4	4.83E-02	1	4.24E-01	1.15E-01	1				
ZNF621	zinc finger protein 621	1372	77	0	0	2	0	0	0	2	2	2	3.55E-01	1	3.50E-02	1.15E-01	1				
GSTK1	glutathione S-transferase kappa 1	873	16	0	0	2	0	0	0	2	2	2	1.17E-01	1	1.71E-01	1.16E-01	1				
SPPL2A	signal peptide peptidase like 2A	1619	26	0	0	3	0	0	0	3	3	3	7.50E-02	1	2.43E-01	1.16E-01	1				
WDR5	WD repeat domain 5	1053	34	0	1	3	0	1	0	4	4	4	2.47E-02	1	4.30E-01	1.16E-01	1				
ATP2C2	"ATPase, Ca++ transporting, type 2C, member 2"	3036	1	0	0	6	0	1	0	7	6	7	2.47E-02	1	4.44E-01	1.16E-01	1				
TMEM67	transmembrane protein 67	3234	7	0	0	6	0	1	0	7	6	7	2.48E-02	1	6.17E-01	1.16E-01	1				
BIRC3	baculoviral IAP repeat-containing 3	1843	37	0	1	2	0	0	1	3	2	3	2.52E-01	1	7.10E-02	1.17E-01	1				
APOBEC2	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2"	679	80	0	0	3	0	0	0	3	3	3	2.50E-02	1	8.73E-01	1.17E-01	1				
RAI2	retinoic acid induced 2	1593	134	0	1	2	0	0	1	3	3	3	1.23E-01	1	1.76E-01	1.18E-01	1				
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	4194	5	0	0	9	0	0	0	9	9	9	2.52E-02	1	9.60E-01	1.18E-01	1				
PIGH	"phosphatidylinositol glycan anchor biosynthesis, class H"	776	25	0	0	3	0	0	0	3	3	3	2.53E-02	1	7.17E-01	1.18E-01	1				
SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	926	34	0	0	2	1	0	0	3	3	3	2.53E-02	1	5.62E-01	1.18E-01	1				
CPA4	carboxypeptidase A4	1306	179	0	1	2	0	0	1	3	3	3	9.04E-02	1	2.55E-01	1.18E-01	1				
GPS2	G protein pathway suppressor 2	1036	67	0	1	1	0	0	1	2	2	2	1.35E-01	1	1.01E-01	1.19E-01	1				
WRB	tryptophan rich basic protein	611	105	0	0	0	0	1	0	1	1	1	1.19E-01	NaN	NaN	1.19E-01	1				
CPXM2	"carboxypeptidase X (M14 family), member 2"	2323	4	0	0	6	0	0	0	6	6	6	2.55E-02	1	5.64E-01	1.19E-01	1				
CARM1	coactivator-associated arginine methyltransferase 1	1887	40	0	0	1	0	1	0	2	2	2	2.03E-01	1	8.80E-02	1.19E-01	1				
FAM177B	"family with sequence similarity 177, member B"	489	385	0	0	2	0	0	0	2	2	2	5.21E-02	1	4.09E-01	1.19E-01	1				
SLK	STE20-like kinase (yeast)	3780	24	0	0	5	0	0	0	5	5	5	6.96E-02	1	2.92E-01	1.20E-01	1				
GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1233	0	0	4	9	1	8	0	18	12	13	1.47E-01	1.25E-01	7.20E-01	1.20E-01	1				
GNG13	"guanine nucleotide binding protein (G protein), gamma 13"	208	83	0	0	1	0	0	0	1	1	1	1.20E-01	NaN	NaN	1.20E-01	1				
SYT6	synaptotagmin VI	1557	10	0	0	4	0	0	0	4	4	4	1.56E-01	1	1.60E-02	1.20E-01	1				
HIST2H3D	"histone cluster 2, H3d"	411	1	0	4	7	0	0	0	7	7	6	3.57E-01	2.08E-01	1.67E-01	1.20E-01	1				
LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	854	171	0	0	2	0	0	0	2	2	2	1.97E-01	1	1.16E-01	1.20E-01	1				
KRT9	keratin 9 (epidermolytic palmoplantar keratoderma)	1896	10	0	0	3	0	0	0	3	3	3	2.59E-02	1	8.58E-01	1.20E-01	1				
SURF2	surfeit 2	791	323	0	0	3	0	0	0	3	3	3	1.11E-01	1	1.79E-01	1.21E-01	1				
NR1D1	"nuclear receptor subfamily 1, group D, member 1"	1875	26	0	0	3	0	0	1	4	4	4	5.99E-02	1	4.10E-01	1.21E-01	1				
SLC25A47	"solute carrier family 25, member 47"	947	7	0	1	3	0	0	1	4	4	4	2.60E-02	1	6.85E-01	1.21E-01	1				
DSC2	desmocollin 2	2804	25	0	3	8	0	0	0	8	7	8	2.22E-01	1	9.60E-02	1.21E-01	1				
C3orf62	chromosome 3 open reading frame 62	812	180	0	0	1	0	0	1	2	2	2	6.87E-02	1	3.44E-01	1.21E-01	1				
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	1060	87	0	1	2	1	0	0	3	3	3	2.61E-02	1	6.59E-01	1.21E-01	1				
GPC3	glypican 3	1844	6	0	0	5	0	0	0	5	4	5	7.02E-02	1	3.43E-01	1.21E-01	1				
IL17RE	interleukin 17 receptor E	2240	140	0	0	5	0	0	1	6	6	6	2.62E-02	1	6.47E-01	1.22E-01	1				
GOLM1	golgi membrane protein 1	1238	5	0	0	2	0	0	0	2	2	2	1.55E-01	1	1.50E-01	1.22E-01	1				
SAP130	"Sin3A-associated protein, 130kDa"	3332	2	0	0	2	2	0	1	5	5	5	2.63E-02	1	4.82E-01	1.22E-01	1				
GPATCH3	G patch domain containing 3	1602	5	0	0	3	0	0	0	3	3	3	1.14E-01	1	1.90E-01	1.22E-01	1				
LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	1847	12	0	0	2	0	1	0	3	3	2	3.51E-01	6.60E-02	7.24E-01	1.22E-01	1				
CD19	CD19 molecule	1726	112	0	1	2	0	0	1	3	3	3	9.60E-02	1	1.90E-01	1.22E-01	1				
USP9X	"ubiquitin specific peptidase 9, X-linked"	7885	7	0	2	3	3	0	2	8	8	8	1.07E-01	1	1.86E-01	1.22E-01	1				
SYTL4	synaptotagmin-like 4 (granuphilin-a)	2125	29	0	0	2	0	0	0	2	2	2	2.96E-01	1	7.30E-02	1.22E-01	1				
CNBD2		1775	14	0	0	2	0	0	0	2	2	2	2.11E-01	1	1.08E-01	1.22E-01	1				
DNAAF3	"dynein, axonemal, assembly factor 3"	1944	137	0	1	3	0	0	0	3	3	3	3.71E-01	1	6.60E-02	1.22E-01	1				
THEMIS	thymocyte selection associated	2067	247	0	1	4	0	0	0	4	4	4	2.42E-01	1	9.60E-02	1.22E-01	1				
FGF10	fibroblast growth factor 10	635	11	0	1	2	1	0	0	3	3	3	9.23E-02	1	1.68E-01	1.22E-01	1				
LYZL6	lysozyme-like 6	459	121	0	0	0	0	0	1	1	1	1	1.22E-01	NaN	NaN	1.22E-01	1				
