cytoband	1p36.32	6p21.33	15q15.3	6q23.3	19p13.3	18q23	3p21.31	2q22.2	14q32.31	10q23.31	6q21	9p21.3	16q12.1	6q14.3	8q12.1	19p13.2	4q21.22	6q14.1	13q14.2	1p13.1	1p36.11	13q34	12p13.2	3q28	1q42.12	17q25.1	4q35.1	1p31.1	17p11.2	9q21.13	19q13.32	17q24.1	16p13.3	2p22.2	7q31.31	5p15.31	8p23.3	13q12.12	5q33.3	11q24.3	5q35.3	12q24.11	
	FAM41C	GPSM3	RHOV				TMEM89						PAPD5				PIGY					MIR4306		WDR53	FBXO28		TRIM2			SLC35D2			SEPT12	ROCK2	SLC13A1	LOC340107	SPAG11A	SPATA13	RBM22	NNMT	MIR4281	CDK17	
	KLHL17	FKBPL	UBR1				MIR425						AKTIP				HELQ					LOC100506394		ANKRD18DP	ABCB10		ANP32C			ZNF510			ZNF597	TP53I3	SMARCD3	SLC6A18	MIR596	LNX2	NMUR2	NPAT	LOC100507387	SLC25A3	
	TMEM240	LY6G6E	PATL2				SPINK8						GINS3				GDEP					BIVM-ERCC5		LRRC33	OPN3		FAM149A			HABP4			CCDC64B	MRPL33	SMO	LRRC14B	MIR597	ZDHHC20	ODZ2	NRGN	MIR4634	PLA2G1B	
	TMEM52	SLC44A4	PLA2G4F				C3orf71						NDRG4				ANTXR2					MIR2681		FLJ42393	RAB3GAP2		FBXO8			ERP44			C16orf89	BRE	SPAM1	FLJ33360	MIR598	PAN3	C5orf54	OPCML		PMCH	
	AGRN	VWA7	LRRC57				LOC646498						FTO				LIN54					MIR4705		FLJ34208	TRIM58		DUX2			SMC5			C16orf71	FEZ2	AKR1D1	LOC401177	DEFA1B	PHF2P1	PCYOX1L	PAFAH1B2		POLE	
	FAM132A	C6orf25	PLA2G4D				BSN-AS2						IRX6				C4orf36							LOC401109	AHCTF1		ARFIP1			FAM120A			FAM86A	GREB1	SSBP1	TAG	FAM90A20	SLC46A3	CCNJL	PGR		PPP1CC	
	HES5	LY6G6C	CATSPER2P1				MIR1226						IRX3				PAQR3							GMNC	OR1C1		PDLIM3			VPS13A			NLRC3	LAPTM4A	TBXAS1	MARCH11	FAM90A19	ANKRD20A9P	SH3TC2	POU2AF1		PRKAB1	
	LOC388588	LY6G5C	CKMT1A				MIR711						C16orf57				THAP6							LOC647323	OR2M4		SPOCK3			AGTPBP1			PRSS33	RNF144A	UBE2H	LOC442132	FAM66B	C1QTNF9	SAP30L	PPP2R1B		PSMD9	
	RNF223	PRRT1	SERINC4				MIR4271						SHCBP1				C4orf26							MIR570	OR2L2		AADAT			BICD2			LINC00514	SNX17	VIPR2	LOC643401	ZNF705G	LINC00442	FBXO38	PRCP		PTPN11	
	MIR200A	EGFL8	C15orf62				MIR4793						SETD6				PPM1K							SDHAP2	OR2L1P		FAM198B			TDRD7			FLJ39639	SUPT7L	WNT2	ANKRD33B	FAM66E	TPTE2P6	TIGD6	PTS		PTPRB	
	MIR200B	ZBTB12	LOC645212				MIR4443						FAM192A				RASGEF1B							FAM157A	OR2T1		ACCN5			CDK20			TMEM114	PREB	XRCC2	GUSBP1	LOC100132396	RASL11A	SPINK7	PVRL1		PTPRR	
	FLJ42875	HCG27	MIR626										CHD9				TIGD2							MIR922	RNU5F-1		GALNT7			TMEM2			C16orf96	PDIA6	ZYX	SDHAP3	LOC100287015	C1QTNF9B	HAVCR2	RDX		PXMP2	
	ANKRD65	NCR3	MIR627										ITFG1				CNOT6L							MIR944	TAF5L		CLDN22			ZNF658			PRSS41	CEBPZ	ST7	LOC728613	DEFT1P2	SHISA2	C5orf62	RPS25		PXN	
	MIR429	LY6G6F	LOC728758										NETO2				C4orf22							LOC100128023	DISC2		DKFZP434I0714			FAM75A7			LOC440335	MYCNOS	ARHGEF5	LOC729506	DEFB4B	ATP5EP2	TIMD4	SC5DL		RAN	
	FAM138F	RNF5P1	OIP5-AS1										LONP2				NAP1L5							LOC100131551	DISC1		OTUD4			OSTF1			C16orf90	CDC42EP3	ZNF212	LOC729862	MIR1322	LOC440131	ZNF300	SCN2B		RAP1B	
	LOC643837	HCG26	JMJD7										NLRC5				FAM13A-AS1							LOC100131635	CNIH4		DCHS2			INVS			LOC100128788	CGREF1	ZNF282	SNORD123	MIR548I3	C1QTNF9B-AS1	MYOZ3	SCN4B		RFC5	
	TMEM88B	MCCD1	PLA2G4B										CCDC135				GPRIN3							SNAR-I	PYCR2		C4orf27			PSAT1			MIR548X	RAB10	CUL1	LOC100130744	MIR4659A	SNORA27	PWWP2A	SDHD		RFX4	
	C1orf233	SAPCD1	MIR1282										CAPNS2				CCDC158							MFI2-AS1	RRP15		MARCH1			UBQLN1			MTRNR2L4	YWHAQ	TRIM24	MIR4277	MIR4660	BASP1P1	C1QTNF2	ST3GAL4		RPL6	
	FAM138A	HCG23	MIR4310										MT4				SOWAHB							LOC100507086	PPPDE1		NEIL3			PCA3			LOC100507501	EMILIN1	MGAM	MIR4278	MIR4659B	TPTE2P1	SCGB3A2	SLN		RPLP0	
	WASH7P	SNORA38	LOC100505648										GPT2				SLC10A6							LOC100507391	SCCPDH		FBXW7			FAM108B1			LOC100507589	GPN1	WASL	LOC100505738	LOC100652791	PRHOXNB	PPARGC1B	SORL1		CLIP1	
	MIR551A	SNORD84	SERF2-C15ORF63										ABCC11				HSD17B13							TM4SF19-TCTEX1D2	TRIM17		TMEM144			GOLM1			CORO7-PAM16	MAPRE3	DGKI	LOC100505806		ZAR1L	AFAP1L1	SRPR		ATXN2	
	CDK11A	SNORD117											NKD1				FAM190A							MIR4797	ARID4B		C4orf43			C9orf156				SLC4A1AP	ATP6V1F	LOC100506688		ANKRD26P3	GRPEL2	ST14		SELPLG	
	SLC35E2B	PSORS1C3											RSPRY1				WDFY3-AS2								EGLN1		UFSP2			SHC3				EFR3B	ACCN3	MIR4458		RPL21P28	LSM11	TAGLN		SFSWAP	
	LOC729737	LOC100293534											MYLK3				C4orf11								KIAA1383		DDX60			NANS				MYT1L	PDIA4	MIR4454		LINC00426	ZNF300P1	TECTA		SNRPF	
	OR4F29	LOC100294145											CCDC102A				LOC441025								MARC2		CDKN2AIP			FAM22F				WDR43	UBE3C	MIR4457		LINC00421	NUDCD2	THY1		SYT1	
	LOC100129534	MIR1236											ABCC12				TMEM150C								SUSD4		ODZ3			DIRAS2				LPIN1	FAM131B	MIR4637		PAN3-AS1	UBLCP1	TRPC6		TBX5	
	LOC100130417	MICA											C16orf78				LOC644248								KIF26B		TMEM184C			ASPN				PUM2	DOCK4	MIR4636		MIR2276	SLC36A2	TYR		TBX3	
	LOC100132062	LOC100507463											ANKRD26P1				MIR575								HEATR1		LRP2BP			C9orf95				HAAO	FAM115A	MIR4456		LINC00327	SPINK13	UPK2		HNF1A	
	LOC100132287	LOC100507547											ZNF720				FAM47E								SLC30A10		PDGFC			STX17				NTSR2	DNAJB6	MIR4635		TEX26-AS1	PPP1R2P3	ZBTB16		TDG	
	LOC100133331	MSH5-SAPCD1											SNX20				LOC100499177								ZNF692		FSTL5			NOL8				PRKD3	ABCF2			MIR4499	FAM71B	ZNF202		TSPAN8	
	LOC100133445	ATP6V1G2-DDX39B											LOC146481				LOC100505702								IARS2		STOX2			C9orf40				RASGRP3	AASS				RNF145	CUL5		TMPO	
	DDX11L1	PPT2-EGFL8											CPNE2				LOC100505875								ENAH		KIAA1430			RFK				QPCT	FAM3C				SLC36A1	PICALM		NR2C1	
	TTC34	MIR4646											GPR114				LOC100506035								NUP133		FNIP2			TBC1D2				FAM98A	FASTK				LOC285626	FZD4		HSP90B1	
	LOC100288069												PRSS54				LOC100506746								ERO1LB		SH3RF1			HEMGN				IFT172	ZNF277				LOC285627	BARX2		TXNRD1	
	MIR4251												CES5A				MIR4450								FMN2		RXFP1			KIF27				SH3YL1	ABCB8				LOC285629	OR7E2P		UBC	
													GPR97				MIR4451								ADCK3		SPCS3			BARX1				SNORD53	TFEC				SLC36A3	JRKL		UBE2N	
													CNEP1R1				FAM47E-STBD1								ZNF695		TRAPPC11			BDAG1				EML4	PAXIP1				KIF4B	EED		UNG	
													LOC283856												GJC2		ARHGAP10			NAA35				TRIB2	KLHDC10				ARSI	ZNF259		ZNF10	
													LOC283914												SIPA1L2		MLF1IP			SLC28A3				GRHL1	SSPO				IRGM	MTMR2		ZNF26	
													MT1DP												ZP4		NBLA00301			IPPK				NRBP1	NUP205				NIPAL4	USP2		ZNF84	
													TEPP												RHOU		MAP9			WNK2				EHD3	AHCYL2				FLJ38109	PCSK7		ZNF140	
													SLC6A10P												TFB2M		WWC2			SECISBP2				ITSN2	TNPO3				C5orf46	HTR3B		YEATS4	
													C16orf87												GREM2		CEP44			ZCCHC6				MEMO1	HYAL4				ARHGEF37	ZW10		ALX1	
													LOC388276												ACBD3		SNX25			GALNT12				TRAPPC12	TSPAN12				SPINK6	MMP20		CDK2AP1	
													LOC390705												SMYD3		TTC29			CNTNAP3				CRIM1	CLEC5A				MIR143	UBE4A		BRAP	
													CES1P2												MARC1		MND1			RMI1				DNAJC27	MKRN1				MIR145	MED17		ULK1	
													FLJ26245												ARV1		SLC10A7			TRPM3				C2orf28	POT1				MIR146A	EI24		EEA1	
													MIR138-2												AIDA		TKTL2			GKAP1				NBAS	CNTNAP2				SPINK14	FEZ1		RASAL1	
													CSDAP1												JMJD4		CBR4			ISCA1				SF3B14	HYALP1				FNDC9	CEP57		DYRK2	
													HERC2P4												C1orf35		FHDC1			ZNF484				YPEL5	TES				SPINK9	ARHGAP32		PPFIA2	
													UBE2MP1												TTC13		MGC45800			CEP78				CPSF3	GIMAP2				MIR143HG	C2CD2L		LGR5	
													LOC643714												PGBD5		PRMT10			ANKRD20A1				SNTG2	OR2F1				C5orf52	NAALAD2		MAPKAPK5	
													LOC643802												C1orf115		DDX60L			C9orf64				ATAD2B	SLC13A4				MIR3142	RBM7		DENR	
													CRNDE												HHIPL2		NAF1			C9orf89				HEATR5B	COPG2				MIR3141	MPZL2		OASL	
													MT1IP												ZNF669		WDR17			HIATL2				TMEM214	TPK1					YAP1		DYNLL1	
													LOC644649												ZNF672		ZFP42			HIATL1				C2orf18	SND1					HYOU1		SRSF9	
													LINC00273												PCNXL2		SPATA4			C9orf3				TRMT61B	SND1-IT1					ATP5L		GALNT4	
													TP53TG3C												WDR26		ENPP6			ALG2				ASXL2	DENND2A					ME3		CRADD	
													SNORA46												SH3BP5L		ASB5			FGD3				ADI1	ZNF777					GPR83		HRK	
													SNORA50												OR2G3		ZNF827			FAM122A				C2orf56	TMEM176B					SRSF8		ADAM1	
													LOC729264												OR2G2		SH3D19			TMC1				TTC27	HIPK2					ADAMTS8		LIN7A	
													TP53TG3B												OR2C3		C4orf38			C9orf41				SLC30A6	WDR91					PRSS23		SOCS2	
													LOC100130700												TRIM11		C4orf39			C9orf57				ALLC	REPIN1					TREH		HCAR3	
													KIAA0664L3												MIXL1		C4orf45			C9orf85				DPYSL5	HILPDA					CEP164		HIP1R	
													MIR3935												C1orf124		DCLK2			C9orf135				TRIM54	MDFIC					IGSF9B		RASSF9	
													LOC100505619												OBSCN		TRIM60			PTPDC1				BIRC6	FSCN3					ENDOD1		PIWIL1	
													LOC100507577												NTPCR		MMAA			ANKRD19P				KIDINS220	ATP6V0A4					EXPH5		CABP1	
													MIR548AE2												EFCAB2		RBM46			TRPM6				MTA3	TAS2R3					PHLDB1		NCOR2	
																									KIAA1804		C4orf46			NXNL2				WDR35	TAS2R4					SIK2		WSCD2	
																									ZNF496		TIGD4			RASEF				RDH14	TAS2R16					NCAPD3		SART3	
																									C1orf198		TMEM154			FAM201A				NLRC4	CPA4					ARHGEF12		KNTC1	
																									DISP1		TMEM192			LOC158257				AGBL5	WNT16					SIK3		MLEC	
																									WNT3A		RWDD4			FAM120AOS				C2orf43	PRKAG2					VSIG2		GIT2	
																									HIST3H2A		CCDC111			LINC00475				THADA	ZC3HC1					BACE1		NUAK1	
																									ZNF670		TRIML2			TSTD2				RBKS	LUC7L2					TRIM29		RBM19	
																									NLRP3		CCDC110			ZNF782				ATL2	MRPS33					RAB38		RNF10	
																									FAM36A		CYP4V2			LOC158434				HS1BP3	NUB1					CADM1		NR1H4	
																									SNAP47		LOC285441			LOC158435				FNDC4	NAA38					PANX1		SH2B3	
																									C1orf96		LOC285501			PRUNE2				COLEC11	GPR85					POU2F3		ARPC3	
																									LYPLAL1		RNF175			C9orf71				CENPO	TAS2R5					HINFP		PLXNC1	
																									OR2M5		LOC339975			ZNF169				GALNT14	CHPF2					REXO2		MPHOSPH9	
																									OR2M3		TRIML1			C9orf21				CCDC121	ING3					ODZ4		CCT2	
																									OR2T12		LOC340017			ZNF367				SMC6	LRRN3					OR8G2		CAMKK2	
																									OR14C36		PRSS48			ANKS6				CLIP4	NCAPG2					OR8B8		ZNF268	
																									OR2T34		ANKRD37			SUSD3				GEMIN6	CHCHD3					OR8G1		FRS2	
																									OR2T10		LOC389247			CBWD5				NOL10	WDR60					TIMM8B		TRAFD1	
																									OR2T4		TRIM61			ANKRD18A				C2orf44	RBM28					OR8B2		TMED2	
																									OR2T11		HELT			MAMDC2				THUMPD2	TMEM140					CHORDC1		ERP29	
																									DNAH14		LOC401164			FRMD3				FAM49A	GIMAP4					ACAD8		CKAP4	
																									OR2B11		FAM92A3			C9orf47				LBH	GIMAP5					B3GAT1		GCN1L1	
																									WDR64		HSP90AA6P			C9orf79				C2orf16	TMEM176A					RAB30		METAP2	
																									C1orf131		C4orf47			LOC286238				YIPF4	TRPV6					DCPS		SDS	
																									SPATA17		DUX4L4			LOC286297				ZNF512	AGK					C11orf54		GLIPR1	
																									EDARADD		GALNTL6			LOC286359				DPY30	METTL2B					ZBTB44		RAB35	
																									MRPL55		FRG2			LOC286370				ABHD1	TRPV5					THYN1		CPSF6	
																									HIST3H2BB		SLED1			FOXD4L3				EPT1	ANKRD7					DDX25		SNRNP35	
																									BROX		C4orf51			LOC340508				DHX57	ZC3HAV1					NOX4		KERA	
																									SLC35F3		FLJ38576			LOC340515				PKDCC	AKR1B10					NTM		KRR1	
																									B3GALNT2		DUX4L6			FAM75D5				RSAD2	ACTR3B					CDON		PRDM4	
																									C1orf150		DUX4L5			IGFBPL1				CAPN13	KIAA1147					SIDT2		CIT	
																									LOC148824		DUX4L3			FOXD4L4				CCDC164	FAM40B					TRAPPC4		PWP1	
																									CNIH3		MIR578			AQP7P1				HNRPLL	ESYT2					C11orf73		FICD	
																									LOC149134		LINC00290			PTAR1				NT5C1B	ZNF398					CWC15		NUDT4	
																									EXOC8		LOC728175			C9orf102				KLHL29	KIAA1549					PCF11		FZD10	
																									RNF187		DUX4L2			KGFLP1				CMPK2	MLL3					SPA17		PHLDA1	
																									C1orf55		FAM160A1			FAM75A6				MBOAT2	EXOC4					FXYD6		MLXIP	
																									CNST		LOC731424			MGC21881				TMEM18	GALNT11					CNTN5		RPH3A	
																									C1orf65		CLDN24			FAM75D4				CIB4	LRRC4					SIAE		P2RX2	
																									PLD5		LOC100288255			FAM75D3				OSR1	LMBR1					C11orf71		RAB21	
																									C1orf100		MIR1305			FAM75D1				TTC32	TMEM168					ROBO4		FBXO21	
																									IBA57		MIR3140			LOC389765				ZNF513	LINC00244					SLC35F2		SETD1B	
																									OR2T6		MIR4276			C9orf153				GALM	NOM1					RAB39A		UHRF1BP1L	
																									LOC255654		MIR3945			CTSL3				TMEM178	CCDC136					BTG4		ANKLE2	
																									C1orf101		MIR3688-1			LOC392364				C2orf50	PARP12					FAM55D		CUX2	
																									PGBD2		LOC100505545			FAM74A1				PQLC3	CREB3L2					SYTL2		KIAA1033	
																									OR2L13		LOC100505989			FAM74A4				LOC150622	LRRC61					ANKRD49		MED13L	
																									OR14A16		LOC100506013			ZNF658B				TCF23	C7orf49					TTC12		ZDHHC17	
																									HNRNPU-AS1		LOC100506085			C9orf170				FAM59B	GCC1					C11orf57		SIRT4	
																									LIN9		LOC100506122			CENPP				PLB1	ZNF767					ELMOD1		ABCB9	
																									VN1R5		LOC100506229			MIRLET7A1				MYADML	C7orf58					FOXRED1		ISCU	
																									ZNF678		MIR4453			MIRLET7D				FAM84A	TTC26					KDM4D		RIMBP2	
																									PRSS38		MIR4799			MIRLET7F1				FAM82A1	JHDM1D					SCN3B		ATP6V0A2	
																									LOC339529		MIR3688-2			MIR204				GDF7	TMUB1					VPS11		CORO1C	
																									LOC339535					MIR23B				GPR113	IMMP2L					TMEM126B		MGAT4C	
																									OR6F1					MIR24-1				OXER1	CTTNBP2					TEX12		FBXW8	
																									OR2W3					MIR27B				FAM179A	SLC37A3					CRTAM		HSPB8	
																									OR2T8					MIR7-1				UBXN2A	KRBA1					TMPRSS4		HCAR1	
																									OR2T3					C9orf103				KCNG3	FAM71F1					IFT46		UTP20	
																									OR2T29					LOC440173				CYS1	SLC35B4					C11orf75		KCNMB4	
																									IRF2BP2					LOC440896				KRTCAP3	TMEM209					PRDM10		MRPL42	
																									MIA3					ANKRD20A3				SPDYA	OR6W1P					TRIM49		IFT81	
																									C1orf95					ANKRD20A2				ATP6V1C2	ADCK2					DSCAML1		CCDC59	
																									FAM89A					AQP7P3				RNASEH1	PLXNA4					GRAMD1B		FAM216A	
																									CAPN8					FAM75C1				LCLAT1	ZC3HAV1L					KIAA1377		HCFC2	
																									C1orf31					LOC441454				CCDC75	LOC93432					ARHGAP20		TRHDE	
																									C1orf229					LOC441455				FAM150B	ST7-AS1					USP28		SYCP3	
																									OR2M1P					FAM22G				LINC00486	ST7-AS2					CREBZF		CHST11	
																									OR11L1					LOC441461				DNAJC5G	ST7-OT3					CARD18		GALNT9	
																									OR2L8					LOC442421				IAH1	CADPS2					CCDC90B		IL22	
																									OR2AK2					FOXB2				FLJ33534	CPA5					CCDC81		CCDC53	
																									OR2L3					CBWD3				CYP1B1-AS1	FOXP2					AASDHPPT		CCDC41	
																									OR2M2					C9orf129				C2orf70	CEP41					PKNOX2		GPN3	
																									OR2T33					LOC494127				C2orf53	C7orf29					TP53AIP1		GLTP	
																									OR2M7					LOC494558				LOC339788	TSGA13					MMP27		C12orf47	
																									OR2G6					FAM27A				LINC00299	AGAP3					ABCG4		ARL6IP4	
																									C1orf140					LOC572558				LOC339822	C7orf13					ROBO3		TAOK3	
																									FAM177B					PGM5P2				MSGN1	OR9A4					C11orf1		POP5	
																									ZNF847P					LOC642236				CDKL4	OR9A2					TMEM135		ANAPC5	
																									OR2T2					FAM75A2				GEN1	C7orf34					TAF1D		ANAPC7	
																									OR2T5					FAM75A4				C2orf48	TMEM139					RNF26		TRIAP1	
																									OR14I1					LOC642929				PFN4	NOBOX					FAM118B		NT5DC3	
																									OR2T27					LOC643648				LOC375190	OR2A14					DYNC2H1		VPS29	
																									OR2T35					CBWD6				LOC375196	OR6B1					NLRX1		TPCN1	
																									MIR194-1					FAM75C2				LOC386597	OR2F2					C11orf61		SSH1	
																									MIR215					FAM75A1				MFSD2B	ZNF786					CCDC82		RHOF	
																									TRIM67					FAM74A2				C2orf71	PRSS37					ALG9		VSIG10	
																									MAP1LC3C					RPSAP9				LOC388942	KLF14					CLMP		TESC	
																									H3F3AP4					FOXD4L6				PTRHD1	C7orf45					PDZD3		PARPBP	
																									OR2W5					FOXD4L5				SULT6B1	SVOPL					C11orf63		SLC6A15	
																									OR13G1					LOC653501				LOC400940	MTPN					CCDC15		RIC8B	
																									DUSP5P					KGFLP2				LINC00487	LRGUK					PDGFD		APPL2	
																									LOC643723					FAM75A3				FLJ12334	ASB10					TMPRSS5		SBNO1	
																									SNRPD2P2					FAM75A5				LOC400950	PRSS58					PUS3		TMEM19	
																									RPS7P5					FAM74A3				CAPN14	ASZ1					MFRP		DRAM1	
																									LOC646627					CNTNAP3B				FAM110C	RNF32					JAM3		SLC35E3	
																									SNORA14B					ANKRD20A4				LOC645949	ASB15					BCO2		SVOP	
																									SNORA36B					FOXD4L2				C2orf84	C7orf60					TMEM133		STAB2	
																									LOC728463					SNORA84				SNORD92	TRY6					TMPRSS13		VEZT	
																									LOC731275					LOC100128076				MIR558	LOC154761					TMEM126A		GOLGA2P5	
																									LOC100130093					LOC100128361				LOC727982	CLEC2L					DCUN1D5		ZCCHC8	
																									LOC100130331					LINC00476				LOC728730	C7orf55					KIAA1826		SCYL2	
																									LOC100287814					UNQ6494				LOC728819	LOC154822					MAML2		POLR3B	
																									LGALS8-AS1					LOC100129316				RAD51AP2	LOC154860					KIRREL3		CHFR	
																									MIR1182					LOC100132077				DNAJC27-AS1	IQUB					BUD13		FGD6	
																									MIR1537					LOC100132352				MORN2	LOC154872					TMEM25		IL26	
																									MIR664					LOC100132781				LOC730811	C7orf66					RPUSD4		CAND1	
																									LINC00184					FAM27C				LOC100128590	TMEM213					TBRG1		WSB2	
																									TSNAX-DISC1					FAM95B1				OST4	GIMAP8					UBASH3B		NDUFA12	
																									MIR320B2					FAM27B				LOC100129726	CRYGN					C11orf70		DIABLO	
																									MIR3123					LOC100133920				ARHGEF33	ZNF425					DIXDC1		MDM1	
																									MIR3124					LINC00092				LOC100271832	LOC155060					KIAA1731		ANKS1B	
																									MIR3620					LOC100286938				LOC100288911	ZNF746					ZC3H12C		CHPT1	
																									MIR3916					MIR548H3				MIR1301	ATP6V0E2					GLB1L2		NUP107	
																									LOC100506795					MIR2278				LOC100302650	RBM33					ESAM		TMCC3	
																									LOC100506810					MIR3074				SNORA80B	MGC27345					ALKBH8		PITPNM2	
																									ZNF670-ZNF695					MIR4291				MIR4261	GALNTL5					FDXACB1		EP400	
																									MIR4753					MIR3153				MIR4263	RNF133					C11orf52		DHX37	
																									MIR4666A					MIR4290				MIR3125	GIMAP7					VPS26B		FBRSL1	
																									MIR4677					MIR4289				MIR4262	ZNF467					GLB1L3		DDX55	
																									MIR4671					C9orf174				LOC100505624	ZNF800					TIRAP		NTN4	
																									MIR4427					LOC100499484				LOC100505716	GIMAP1					CARD16		TRPV4	
																									MIR4742					MIR3910-1				LOC100505876	LOC202781					C1QTNF5		LHX5	
																														MIR3910-2				LOC100505964	C7orf33					TMEM123		SUDS3	
																														MIR3651				LOC100506054	FABP5P3					PANX3		ACTR6	
																														LOC100507244				LOC100506274	UBN2					APOA5		TBC1D15	
																														LOC100507299				LOC100506474	TAS2R39					SLC36A4		C12orf43	
																														LOC100507346				NT5C1B-RDH14	TAS2R40					FAT3		VPS33A	
																														MIR4670				MIR4765	TAS2R41					TRIM64		RSRC2	
																																		MIR4757	CNPY1					TMEM45B		AACS	
																																		MIR4429	LOC285889					C11orf93		NUP37	
																																			FLJ40852					PIH1D2		DDX54	
																																			LOC285965					FAM55A		NOC4L	
																																			FAM115C					FAM55B		GNPTAB	
																																			ZNF775					AMICA1		B3GNT4	
																																			LOC285972					FAM76B		TCTN1	
																																			ATG9B					SESN3		ACSS3	
																																			C7orf53					PIWIL4		OGFOD2	
																																			TPI1P2					ARHGAP42		VPS37B	
																																			FLJ40288					KBTBD3		BBS10	
																																			MESTIT1					CWF19L2		C12orf49	
																																			ST7-OT4					KDELC2		TCTN2	
																																			TAS2R60					LAYN		NAA25	
																																			CTAGE6P					TTC36		SLC24A6	
																																			TSPAN33					AMOTL1		CEP290	
																																			AGBL3					CCDC67		RNF34	
																																			OR6V1					PATE1		CCDC92	
																																			OR2A12					C11orf65		MTERFD3	
																																			OR2A1					ADAMTS15		PUS1	
																																			FAM71F2					MPZL3		ACAD10	
																																			STRA8					FOLH1B		GLT8D2	
																																			KLRG2					C11orf45		THAP2	
																																			WDR86					HYLS1		KCTD10	
																																			LOC349160					TMEM218		USP44	
																																			GSTK1					SLC37A2		SLC41A2	
																																			KCP					OR8B12		LRRIQ1	
																																			FLJ43663					OR8G5		C12orf26	
																																			RNF148					OR10G8		TCHP	
																																			FEZF1					OR10G9		COQ5	
																																			FAM180A					OR10S1		HVCN1	
																																			OR2A25					OR6T1		SRRM4	
																																			OR2A5					OR4D5		CCDC62	
																																			LOC401397					TBCEL		KDM2B	
																																			PRRT4					TMEM136		CAPS2	
																																			RAB19					SPATA19		UNC119B	
																																			OR2A7					C11orf82		USP30	
																																			OR2A20P					CCDC83		ORAI1	
																																			LOC401431					HEPACAM		RNFT2	
																																			OR2A42					OAF		C12orf34	
																																			FLJ45340					FAM181B		C12orf52	
																																			MIR129-1					CCDC89		MGC14436	
																																			MIR153-2					ANGPTL5		ANKRD13A	
																																			MIR182					ANKK1		NAV3	
																																			MIR183					RNF214		TMEM116	
																																			MIR29A					LOC283143		UBE3B	
																																			MIR29B1					BCL9L		C12orf23	
																																			MIR96					FOXR1		C12orf29	
																																			LOC407835					CCDC153		C12orf65	
																																			AKR1B15					OR8D1		TMEM132C	
																																			CTAGE15P					OR8D2		CCDC64	
																																			OR2A9P					OR8B4		SDSL	
																																			OR2A2					KIRREL3-AS3		TMEM132B	
																																			EIF3IP1					LOC283174		OSBPL8	
																																			LMOD2					LOC283177		IQCD	
																																			MIR335					CCDC84		LOC116437	
																																			ARHGEF35					TMEM225		RAB3IP	
																																			GIMAP6					OR8D4		DEPDC4	
																																			WEE2					ANKRD42		CCDC38	
																																			MIR490					C11orf53		C12orf45	
																																			ZNF862					LOC341056		TMEM132D	
																																			LOC645249					HEPHL1		SLC15A4	
																																			LOC646329					C11orf34		TPH2	
																																			C7orf73					VSTM5		NEDD1	
																																			ACTR3C					TRIM77P		SLC9A7P1	
																																			MIR592					FOLR4		IKBIP	
																																			MIR593					KDM4DL		ASCL4	
																																			MIR595					BSX		BTBD11	
																																			LOC728377					OR6X1		SPIC	
																																			LOC728743					OR6M1		ANO4	
																																			TMEM229A					OR10G4		ALKBH2	
																																			LOC730441					OR10G7		FOXN4	
																																			LUZP6					OR8B3		SPPL3	
																																			MIR671					OR8A1		BRI3BP	
																																			LOC100124692					LOC399939		AMDHD1	
																																			LOC100128264					LOC399940		GLIPR1L2	
																																			CTAGE4					C11orf87		FAM101A	
																																			LOC100128822					C11orf92		ZNF664	
																																			LOC100129148					C11orf88		TMEM120B	
																																			LOC100130705					MIR100HG		WDR66	
																																			LOC100130880					PATE2		GLT1D1	
																																			LOC100131176					PATE4		TSPAN19	
																																			LOC100132707					FLJ39051		BEST3	
																																			LOC100134229					SNX19		E2F7	
																																			LOC100134713					MIRLET7A2		LOC144481	
																																			LOC100287482					MIR100		LOC144486	
																																			MOXD2P					MIR125B1		RAD9B	
																																			ZNF783					MIR34B		FAM109A	
																																			MIR548F3					MIR34C		LOC144742	
																																			MIR548I4					DDI1		KRT19P2	
																																			MIR548F4					BLID		TMTC2	
																																			MIR548T					CARD17		TMTC3	
																																			MTRNR2L6					LINC00167		C12orf50	
																																			MIR3907					SCARNA9		ALDH1L2	
																																			MIR3666					HEPN1		SLC5A8	
																																			LOC100505483					TRIM64B		PPTC7	
																																			LOC100506585					TRIM53P		CCDC63	
																																			LOC100507421					TRIM49L2		CCDC60	
																																			GIMAP1-GIMAP5					UBTFL1		PGAM5	
																																			MIR4468					LOC643037		RILPL2	
																																								LOC643733		DNAH10	
																																								LOC643923		ZFC3H1	
																																								CLDN25		PLBD2	
																																								LOC649133		FAM71C	
																																								RPL23AP64		RMST	
																																								SNORA8		C12orf12	
																																								SNORA1		SLC17A8	
																																								SNORA18		GNN	
																																								SNORA40		LRRC43	
																																								SNORA25		TCP11L2	
																																								SNORA32		LOC255480	
																																								SNORD5		LOC256021	
																																								SNORD6		GLIPR1L1	
																																								TRIM49L1		POC1B	
																																								MIR708		OTOGL	
																																								LOC100128239		GPR133	
																																								LOC100132078		MORN3	
																																								PATE3		LOC283392	
																																								LOC100288077		GAS2L3	
																																								LOC100288346		LINC00485	
																																								MIR1304		MYO1H	
																																								SNORA70E		C12orf51	
																																								BACE1-AS		KSR2	
																																								MIR4300		GATC	
																																								MIR4301		HNF1A-AS1	
																																								MIR3167		DDX51	
																																								MIR1260B		MMAB	
